,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
332,0.02119309262166405,0.00558659217877095,0.0,0.007042253521126761,0.01456920371765888,0.007780967725145619,0.05,0.09659036028204385,0.06338842576976822,0.001225182791148062,0.007985803016858917,0.0009550660284052591,0.016260162601626018,0.0,0.049586776859504134,0.0,0.1956521739130435,0.036923076923076927,0.013776337115072933,0.015862524785194978,0.005555555555555556
68,0.006279434850863423,0.0,0.0,0.0,0.0007535795026375283,0.00018749319819627995,0.665,0.007244277021153289,0.02035850238519732,2.211891122951698e-06,0.0,1.6988244330941193e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.006153846153846154,0.006888168557536467,0.007270323859881031,0.0
212,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
215,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
408,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
405,0.0007849293563579278,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
146,0.0031397174254317113,0.0,0.0,0.0,0.001004772670183371,0.0003433432225644811,0.0,0.0,0.0,0.0,0.0,0.0,0.0018066847335140017,0.0,0.0,0.0,0.08695652173913043,0.0,0.0016207455429497568,0.0,0.0
412,0.006279434850863423,0.0,0.0,0.0,0.003014318010550113,0.0012187057882758197,0.125,0.03863614411281754,0.02481568929793283,7.675960688575956e-05,0.0008873114463176575,5.9850891565931276e-05,0.0027100271002710027,0.045454545454545456,0.01652892561983471,0.0,0.10869565217391304,0.009230769230769232,0.0032414910858995136,0.0026437541308658294,0.0
49,0.002354788069073783,0.00558659217877095,0.0,0.0,0.0025119316754584277,0.0010805995996990645,0.2,0.02414759007051096,0.035223823061726015,4.2538158754028964e-05,0.0008873114463176575,3.3192415846608176e-05,0.0018066847335140017,0.0,0.0,0.0,0.08695652173913043,0.015384615384615385,0.002025931928687196,0.003304692663582287,0.005555555555555556
426,0.08320251177394035,0.0446927374301676,0.024193548387096774,0.04225352112676056,0.0793770409444863,0.056664052408193395,0.02,0.26881097266492804,0.16590372476268492,0.024827574472232064,0.05678793256433008,0.019353857354024753,0.07588075880758807,0.0,0.15702479338842976,0.09090909090909091,0.41304347826086957,0.14153846153846153,0.07617504051863858,0.08460013218770654,0.044444444444444446
281,0.0031397174254317113,0.0,0.0,0.0,0.001004772670183371,0.0003433432225644811,0.0,0.0,0.0,0.0,0.0,0.0,0.0018066847335140017,0.0,0.0,0.0,0.08695652173913043,0.0,0.0016207455429497568,0.0,0.0
284,0.06828885400313972,0.03910614525139665,0.024193548387096774,0.035211267605633804,0.06103993971363979,0.04190472979686857,0.035,0.14749348015068095,0.2236062256059365,0.010074060447789954,0.0417036379769299,0.007853011960181386,0.06052393857271906,0.06818181818181818,0.09090909090909091,0.0,0.2608695652173913,0.13230769230769232,0.05753646677471637,0.0667547918043622,0.03888888888888889
40,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
506,0.01020408163265306,0.0111731843575419,0.0,0.014084507042253521,0.010298919869379553,0.005618585603361393,0.075,0.06317009562445668,0.07001397388329397,0.0005784630797001089,0.005323868677905945,0.00045090720818394297,0.009033423667570008,0.0,0.01652892561983471,0.0,0.1956521739130435,0.04,0.009724473257698542,0.011235955056179775,0.011111111111111112
278,0.008634222919937205,0.00558659217877095,0.0,0.007042253521126761,0.0035167043456417984,0.0015901434175100905,0.165,0.028977108084613155,0.043174480797956924,7.512047914833009e-05,0.001774622892635315,5.8544103540474264e-05,0.005420054200542005,0.06818181818181818,0.008264462809917356,0.0,0.10869565217391304,0.018461538461538463,0.0032414910858995136,0.0039656311962987445,0.005555555555555556
473,0.026687598116169546,0.0223463687150838,0.0,0.02112676056338028,0.01909068073348405,0.011486767830189128,0.05,0.0973630831643002,0.09287813810051558,0.0018222769790227596,0.011535048802129548,0.001420543923073048,0.02710027100271003,0.0,0.024793388429752067,0.0,0.2608695652173913,0.06153846153846154,0.018233387358184763,0.020489094514210177,0.022222222222222223
453,0.03924646781789639,0.027932960893854747,0.024193548387096774,0.035211267605633804,0.023863350916855063,0.014443482334237086,0.035,0.1334878779097846,0.08516840938659472,0.0031420868007171407,0.01419698314108252,0.0024493781355153558,0.037940379403794036,0.06818181818181818,0.03305785123966942,0.0,0.30434782608695654,0.05846153846153846,0.024311183144246355,0.023132848645076007,0.027777777777777776
367,0.04552590266875981,0.0223463687150838,0.0,0.02112676056338028,0.0364230092941472,0.02398286418631501,0.025,0.1861296242634985,0.10140702549029057,0.007275813286288877,0.023957409050576754,0.0056717213880885355,0.04607046070460705,0.022727272727272728,0.04132231404958678,0.0,0.34782608695652173,0.09230769230769231,0.03119935170178282,0.0449438202247191,0.022222222222222223
462,0.4631083202511774,0.48044692737430167,0.2661290322580645,0.4225352112676056,0.4734991208239136,0.4160482939893348,0.01,0.6186612576064908,0.5292246904062063,0.4195793361201112,0.41614906832298143,0.3270744067460057,0.4001806684733514,0.9090909090909091,0.7603305785123967,0.5454545454545454,0.5434782608695652,0.46153846153846156,0.46434359805510533,0.488433575677462,0.4777777777777778
190,0.003924646781789639,0.0,0.0,0.0,0.0035167043456417984,0.0014736255624795947,0.215,0.022505553945716218,0.05146243916542186,5.4142438076967135e-05,0.001774622892635315,4.2209253222261575e-05,0.0036133694670280035,0.0,0.0,0.0,0.06521739130434782,0.018461538461538463,0.0028363047001620746,0.004626569729015202,0.0
142,0.019623233908948195,0.01675977653631285,0.0,0.02112676056338028,0.012559658377292138,0.00589243213574271,0.045,0.10866415531729934,0.04266852985110586,0.0010438170322918036,0.006211180124223603,0.0008136715640508103,0.017163504968383016,0.0,0.04132231404958678,0.0,0.17391304347826086,0.018461538461538463,0.014181523500810372,0.00991407799074686,0.016666666666666666
383,0.004709576138147566,0.0,0.0,0.0,0.003014318010550113,0.0010794166773129682,0.1,0.04829518014102192,0.017587818628632006,8.497387202446859e-05,0.0008873114463176575,6.625415289067066e-05,0.004516711833785004,0.0,0.0,0.0,0.08695652173913043,0.006153846153846154,0.0032414910858995136,0.0026437541308658294,0.0
19,0.006279434850863423,0.00558659217877095,0.0,0.0,0.005023863350916855,0.002589712833761551,0.125,0.03863614411281754,0.052739362983665015,0.0001631071797129034,0.0026619343389529724,0.00012715047487696753,0.007226738934056007,0.0,0.0,0.0,0.15217391304347827,0.03076923076923077,0.004051863857374392,0.006609385327164574,0.005555555555555556
467,0.06200941915227629,0.03910614525139665,0.0,0.035211267605633804,0.050741019844260236,0.03257561239891928,0.03,0.16555587752342316,0.15482098973642366,0.00879074450131783,0.032830523513753325,0.006852665726694039,0.052393857271906055,0.18181818181818182,0.09090909090909091,0.0,0.2826086956521739,0.08923076923076922,0.053079416531604535,0.046926635822868476,0.03888888888888889
202,0.005494505494505495,0.00558659217877095,0.0,0.007042253521126761,0.005023863350916855,0.0022981224655887877,0.145,0.03313049357674104,0.05461860935768323,0.00012406613723958335,0.0026619343389529724,9.670231388381909e-05,0.005420054200542005,0.0,0.0,0.0,0.10869565217391304,0.021538461538461538,0.004862236628849271,0.005287508261731659,0.005555555555555556
175,0.00706436420722135,0.00558659217877095,0.0,0.007042253521126761,0.004270283848279327,0.001908349539370023,0.07,0.0676132521974307,0.022213655856984534,0.00021034386087337081,0.001774622892635315,0.0001639365577935825,0.007226738934056007,0.0,0.0,0.0,0.15217391304347827,0.012307692307692308,0.004051863857374392,0.004626569729015202,0.005555555555555556
150,0.015698587127158554,0.00558659217877095,0.0,0.007042253521126761,0.008038181361466968,0.003989110016513597,0.07,0.06896551724137931,0.04548739941213318,0.00044865068215374157,0.00354924578527063,0.00034976181501357,0.013550135501355014,0.022727272727272728,0.01652892561983471,0.0,0.1956521739130435,0.021538461538461538,0.008914100486223663,0.006609385327164574,0.005555555555555556
180,0.005494505494505495,0.0,0.0,0.0,0.003014318010550113,0.0012772604463875917,0.25,0.01931807205640877,0.052016575916734926,4.0219165534597506e-05,0.0008873114463176575,3.136291261096835e-05,0.0018066847335140017,0.0,0.0,0.0,0.17391304347826086,0.027692307692307693,0.007698541329011345,0.008592200925313946,0.0
419,0.0,0.0,0.0,0.0,0.0012559658377292139,0.0004586781552088805,0.2,0.02414759007051096,0.014937599383221704,1.805368817617628e-05,0.0008873114463176575,1.4047971273662907e-05,0.0,0.0,0.0,0.0,0.08695652173913043,0.003076923076923077,0.0016207455429497568,0.0006609385327164573,0.0
469,0.05572998430141287,0.061452513966480445,0.03225806451612903,0.035211267605633804,0.04998744034162271,0.03320877160607739,0.02,0.22437940693518788,0.11648918228689828,0.01214501918161295,0.032830523513753325,0.00946741788683098,0.056910569105691054,0.0,0.049586776859504134,0.0,0.3695652173913043,0.09538461538461539,0.048217179902755265,0.05287508261731659,0.06111111111111111
353,0.036891679748822605,0.0111731843575419,0.0,0.014084507042253521,0.020849032906304948,0.012067878452358984,0.03,0.1724137931034483,0.05510046740230328,0.003391173680838844,0.012422360248447206,0.002643501496696995,0.03071364046973803,0.11363636363636363,0.04132231404958678,0.0,0.32608695652173914,0.04,0.02188006482982172,0.019167217448777262,0.011111111111111112
210,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
436,0.11538461538461539,0.08379888268156424,0.056451612903225805,0.07042253521126761,0.032655111780959555,0.020028650380191255,0.05,0.09349946875301844,0.1685539440080952,0.0030528195316077006,0.020408163265306124,0.0023797916731597697,0.032520325203252036,0.022727272727272728,0.06611570247933884,0.0,0.4782608695652174,0.15076923076923077,0.0960291734197731,0.09715796430931924,0.005555555555555556
287,0.03139717425431711,0.0335195530726257,0.0,0.035211267605633804,0.023109771414217533,0.013991901713344785,0.03,0.17386264850767894,0.06334023996530622,0.00396576245861412,0.01419698314108252,0.003091403092422387,0.02981029810298103,0.045454545454545456,0.024793388429752067,0.09090909090909091,0.3695652173913043,0.04923076923076923,0.024311183144246355,0.021150033046926635,0.03333333333333333
221,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
96,0.004709576138147566,0.0,0.0,0.0,0.0025119316754584277,0.0010312125900795398,0.18,0.027045300878972278,0.02999566327759842,4.546251164921563e-05,0.0008873114463176575,3.54139554898851e-05,0.004516711833785004,0.0,0.0,0.0,0.021739130434782608,0.036923076923076927,0.003646677471636953,0.008592200925313946,0.0
237,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
366,0.0423861852433281,0.0670391061452514,0.0,0.08450704225352113,0.024868123587038434,0.014917834211061744,0.045,0.10364145658263306,0.11330891919240592,0.0025192787964615176,0.015084294587400179,0.0019638410446568017,0.036133694670280034,0.0,0.10743801652892562,0.0,0.2608695652173913,0.06153846153846154,0.02674230145867099,0.021810971579643092,0.06666666666666667
29,0.002354788069073783,0.0,0.0,0.0,0.0012559658377292139,0.0004586781552088805,0.2,0.02414759007051096,0.014937599383221704,1.805368817617628e-05,0.0008873114463176575,1.4047971273662907e-05,0.0018066847335140017,0.0,0.0,0.0,0.08695652173913043,0.003076923076923077,0.0016207455429497568,0.0006609385327164573,0.0
317,0.007849293563579277,0.00558659217877095,0.0,0.007042253521126761,0.00452147701582517,0.0020792818241609536,0.09,0.054090601757944556,0.03026068520213945,0.00018334481933468885,0.001774622892635315,0.00014289727058372457,0.007226738934056007,0.0,0.008264462809917356,0.0,0.15217391304347827,0.015384615384615385,0.004457050243111832,0.004626569729015202,0.005555555555555556
294,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
179,0.015698587127158554,0.0223463687150838,0.0,0.014084507042253521,0.016829942225571465,0.009220288538428417,0.045,0.1021926011784024,0.0710258757769961,0.0015355879498108772,0.008873114463176577,0.0011970178313186254,0.016260162601626018,0.0,0.008264462809917356,0.0,0.21739130434782608,0.04,0.017017828200972446,0.016523463317911435,0.022222222222222223
519,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
197,0.0423861852433281,0.061452513966480445,0.06451612903225806,0.056338028169014086,0.04672192916352675,0.02962806554336357,0.035,0.13107311890273352,0.17792608297595527,0.0063292356443749205,0.0292812777284827,0.004933843529514232,0.04065040650406504,0.06818181818181818,0.04132231404958678,0.0,0.21739130434782608,0.09230769230769231,0.04538087520259319,0.048909451421017845,0.06111111111111111
326,0.00706436420722135,0.00558659217877095,0.0,0.007042253521126761,0.004270283848279327,0.001908349539370023,0.07,0.0676132521974307,0.022213655856984534,0.00021034386087337081,0.001774622892635315,0.0001639365577935825,0.007226738934056007,0.0,0.0,0.0,0.15217391304347827,0.012307692307692308,0.004051863857374392,0.004626569729015202,0.005555555555555556
504,0.01020408163265306,0.0111731843575419,0.0,0.007042253521126761,0.008038181361466968,0.004217709767626727,0.085,0.05534627644161113,0.05999132655519684,0.00038037076734144526,0.004436557231588288,0.00029651020297619666,0.01084010840108401,0.0,0.0,0.0,0.17391304347826086,0.033846153846153845,0.007293354943273906,0.009253139458030404,0.011111111111111112
489,0.03453689167974882,0.0446927374301676,0.0,0.02112676056338028,0.04923386083898518,0.03427162736998501,0.02,0.2253453105380083,0.11966944538139064,0.012591737369417164,0.03460514640638865,0.009815611556214002,0.032520325203252036,0.045454545454545456,0.03305785123966942,0.09090909090909091,0.41304347826086957,0.12,0.04254457050243112,0.06014540647719762,0.044444444444444446
427,0.08163265306122448,0.08379888268156424,0.10483870967741936,0.07042253521126761,0.07359959809093193,0.051564769732328326,0.015,0.30425963488843816,0.13335421384860022,0.025576241409690084,0.05146406388642413,0.019937403546792583,0.07859078590785908,0.06818181818181818,0.09917355371900827,0.09090909090909091,0.43478260869565216,0.12307692307692308,0.07009724473257699,0.07931262392597488,0.08333333333333333
248,0.02197802197802198,0.0111731843575419,0.0,0.014084507042253521,0.020597839738759106,0.010945876569146546,0.035,0.1400560224089636,0.06150917939575001,0.0024991715420006645,0.01064773735581189,0.0019481595883513176,0.01987353206865402,0.0,0.03305785123966942,0.09090909090909091,0.21739130434782608,0.033846153846153845,0.02147487844408428,0.019167217448777262,0.011111111111111112
357,0.05416012558869702,0.027932960893854747,0.0,0.02112676056338028,0.04370761115297664,0.028254101191912597,0.025,0.1931807205640877,0.11509179395750013,0.008897860567636267,0.02839396628216504,0.006936169481520742,0.04697380307136405,0.06818181818181818,0.0743801652892562,0.09090909090909091,0.32608695652173914,0.08615384615384615,0.04213938411669368,0.046265697290152015,0.027777777777777776
486,0.01805337519623234,0.0,0.0,0.0,0.009796533534287867,0.005195690850331928,0.095,0.05051675842750894,0.08092805859393823,0.0004279473812429137,0.005323868677905945,0.0003336229828991759,0.011743450767841012,0.045454545454545456,0.05785123966942149,0.0,0.15217391304347827,0.04,0.008914100486223663,0.011235955056179775,0.0
308,0.016483516483516484,0.0111731843575419,0.0,0.014084507042253521,0.012308465209746294,0.006494835360862304,0.07,0.06886892688109726,0.07425432467595046,0.000728648158642084,0.006211180124223603,0.0005679954152648916,0.014453477868112014,0.045454545454545456,0.01652892561983471,0.0,0.17391304347826086,0.036923076923076927,0.012155591572123177,0.01255783212161269,0.011111111111111112
67,0.02119309262166405,0.00558659217877095,0.0,0.007042253521126761,0.03240391861341371,0.020027763188401684,0.05,0.09803921568627451,0.16069965788078833,0.0032021105408747137,0.020408163265306124,0.0024961611468267164,0.018970189701897018,0.022727272727272728,0.024793388429752067,0.0,0.21739130434782608,0.08,0.032820097244732574,0.031725049570389956,0.005555555555555556
12,0.01020408163265306,0.00558659217877095,0.0,0.0,0.0025119316754584277,0.0010805995996990645,0.135,0.036221385105766446,0.023466486772996675,6.380956643748867e-05,0.0008873114463176575,4.972328436863941e-05,0.0027100271002710027,0.20454545454545456,0.0,0.0,0.10869565217391304,0.012307692307692308,0.002025931928687196,0.003304692663582287,0.005555555555555556
341,0.015698587127158554,0.00558659217877095,0.0,0.007042253521126761,0.008289374529012811,0.004192868397518703,0.075,0.06635757751376413,0.04967956440032766,0.0004538893716554693,0.004436557231588288,0.0003538128578924867,0.014453477868112014,0.022727272727272728,0.008264462809917356,0.0,0.1956521739130435,0.024615384615384615,0.008914100486223663,0.007270323859881031,0.005555555555555556
