,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps
1677,0.13665689149560117,0.1492100643651258,0.11370794230837822,0.11370715958933109,0.00037994667644920176,0.002297310232602661,0.00016528014985400254,0.0005860498565976635,0.5467980295566502,0.4166666666666667,0.7530864197530864,1.0,0.0,0.11153846153846154,0.28305868167202575,0.4482466362962178,0.1468185943329636,0.016239707227813354,1.0,1.0,0.0,0.30251704999283185,0.40171649057012015,0.14138117265832295,0.07308216068996824,0.5581962218159658,0.10385925085130533,0.0,0.0,0.0,0.0,0.0,0.0
1845,0.7272727272727273,0.7302516091281451,0.009293157226024076,0.009293913982377893,0.0010022731292539289,0.0022015889729108833,0.0014875213486860229,0.002062433074020866,0.7142857142857143,0.6018518518518519,0.2222222222222222,0.0,1.0,0.23076923076923078,0.1500200964630225,0.43744040682275664,0.5415952404961177,0.008462946020128087,0.4724025974025973,0.7748003362757461,1.0,0.3869375550412682,0.2806245717788756,0.31521356282433605,0.729056337317799,0.7412553321145643,0.3604994324631101,0.0,0.0,0.0,0.0,0.0,0.0
1837,0.06334310850439882,0.06612053832650673,0.005682789447828507,0.005683397416895258,0.0006747328909356515,0.0014358188953766632,0.0011018676656933501,0.0014170276600348334,0.7438423645320197,0.625,0.2222222222222222,0.0,1.0,0.23076923076923078,0.16036977491961416,0.44146625701875203,0.4453967933850963,0.005832570905763952,0.5225243506493507,0.949978982765868,1.0,0.35230507710897657,0.23554866395009197,0.30549228637847226,0.7772229787663287,0.7553930530164534,0.21316685584563,0.0,0.0,0.0,0.0,0.0,0.0
1152,0.09442815249266862,0.1831480397893505,0.06343265041716134,0.06343964487086017,0.03053330101602982,0.06767493060208672,0.023359594512699026,0.052323821835322144,0.5665024630541872,0.5509259259259259,0.8236331569664903,1.0,0.0,0.15384615384615385,0.1910168810289389,0.7549528551753364,0.6639104567913683,0.1036139066788655,0.2086038961038961,0.2062841530054645,0.0,0.6897208511684109,0.6823050016227327,0.47361870993495664,0.3317193725727543,0.6188299817184644,1.0,0.0,0.0,0.0,0.0,0.0,1.0
622,0.02404692082111437,0.12287887653598596,0.13353484402411564,0.13353888554382076,0.0448926650639031,0.0225902172872595,0.007768167043138119,0.060537147088937746,0.18719211822660098,0.4027777777777778,0.2310405643738977,0.0,1.0,0.0,0.06069131832797428,0.43288483949570933,0.3821720278309973,0.14398444647758463,0.7229099025974026,0.44493484657419086,0.0,0.7239846806070411,0.6984962677148319,0.4287928241012516,0.19080042366469965,0.48683729433272394,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1026,0.5589442815249267,0.5605617320070216,0.2830705983052549,0.2830704150876884,0.0005044119670101472,0.0009572125969177754,0.0007713073659853452,0.0006800007315917538,0.4236453201970443,0.4027777777777778,0.7389770723104057,1.0,0.0,0.15384615384615385,0.8351085209003215,0.43945333192075436,0.5966522133709791,0.004574565416285452,0.7463474025974026,1.0,1.0,0.32699121387756774,0.23554866395009197,0.27616408763237604,0.7015685681141878,0.4893967093235832,0.14517593643586835,0.0,0.0,0.0,0.0,0.0,1.0
212,0.07214076246334311,0.08133411351667642,0.06684996605409975,0.06685333482063896,0.003740509521594728,0.00622188187996554,0.0033606963803647183,0.005155219958927335,0.4433497536945813,0.41203703703703703,0.2239858906525573,1.0,0.0,0.11538461538461539,0.18257636655948553,0.5269626019705478,0.3454673792477564,0.015210430009149132,0.2882508116883116,0.9153005464480874,1.0,0.5032461547914063,0.3606072626302694,0.412308920562613,0.8272053260705099,0.49786715417428395,0.9958002270147559,0.0,1.0,0.0,0.0,0.0,0.0
1573,0.6521994134897361,0.660620245757753,0.061741017548100685,0.0617639609002965,0.02345843186835503,0.012252321240547526,0.01724422896810093,0.030161768050214803,0.32019704433497537,0.39351851851851855,0.8112874779541446,1.0,0.0,0.15384615384615385,0.6599678456591641,0.4782286259137621,0.05969547242109509,0.012580054894784996,0.14924918831168832,0.9900168137873057,1.0,0.6662911913490487,0.36825213659803113,0.5853429450301735,0.9701417259292884,0.4642291285801341,1.0,0.0,0.0,0.0,0.0,0.0,0.0
248,0.0967741935483871,0.10064365125804564,0.10528652412084817,0.10528629297907521,0.0003275402383182774,0.0014358188953766632,0.0006611205994160102,0.00044223341158834435,0.46798029556650245,0.3425925925925926,0.2310405643738977,1.0,0.0,0.11538461538461539,0.24417202572347266,0.6040894162517216,1.0,0.007548032936870996,0.6419439935064936,0.8382723833543505,0.5,0.28979867696151723,0.26699361725145154,0.24453471716721067,0.4998234730418117,0.4915295551492992,0.12599318955732125,0.0,1.0,0.0,0.0,0.0,0.0
922,0.5325513196480939,0.5324751316559392,0.03144662227699993,0.03144657624916724,0.0003275402383182774,0.0008614913372259979,0.0006060272161313426,0.0004312767898029913,0.4236453201970443,0.375,0.8201058201058201,1.0,0.0,0.07692307692307693,0.9240353697749196,0.29431083801250135,0.49581526671372395,0.0024016468435498622,0.5387581168831169,1.0,1.0,0.28979867696151723,0.17208178572716457,0.25341066522647754,0.7520048418822818,0.479890310786106,0.06617480136208856,0.0,0.0,0.0,0.0,0.0,1.0
785,0.5712609970674487,0.5710942071386775,0.07439147939029728,0.07439075421802134,0.00010481287626184877,0.0003828850387671102,0.00016528014985400254,0.00018289793846416115,0.5763546798029556,0.5138888888888888,0.2310405643738977,0.0,1.0,0.038461538461538464,0.5593850482315113,0.2648585655260091,0.6639104567913683,0.0033165599268069534,1.0,1.0,0.0,0.19544514305609606,0.17208178572716457,0.14138117265832295,0.3317193725727543,0.6262035344302255,0.018501702610669704,0.0,0.0,0.0,1.0,0.0,0.0
845,0.3659824046920821,0.3692217671152721,0.15464955605325928,0.15465664810205218,0.0031116322640236354,0.0076577007753422036,0.005839898628174757,0.004597122428774194,0.4729064039408867,0.4398148148148148,0.24162257495590828,0.0,1.0,0.23076923076923078,0.9194131832797429,0.6300455556732705,0.09529091459110618,0.007548032936870996,0.12144886363636363,1.0,1.0,0.4869232187109591,0.26699361725145154,0.4765303965999013,0.9523377212891512,0.53363802559415,0.9967082860385925,0.0,0.0,0.0,0.0,1.0,0.0
908,0.5706744868035191,0.5746050321825629,0.1969798201965049,0.19697945484496995,0.0005961232337392649,0.0011486551163013305,0.0005509338328466751,0.0007862023175584437,0.3694581280788177,0.37962962962962965,0.8165784832451499,1.0,0.0,0.07692307692307693,0.8371181672025724,0.37037821803157117,0.8448119390944842,0.007090576395242452,0.9275568181818181,1.0,0.0,0.3415118684334487,0.29313764379214596,0.24453471716721067,0.42220204771271497,0.4786106032906764,0.1566401816118048,0.0,0.0,0.0,0.0,0.0,1.0
629,0.021700879765395895,0.12463428905792862,0.14009568945999248,0.1400997984125683,0.043254963872311716,0.029482147985067483,0.008264007492700128,0.05905196406504127,0.18719211822660098,0.41203703703703703,0.2275132275132275,0.0,1.0,0.0,0.05486334405144695,0.48776353427269836,0.3725925178985581,0.15004574565416284,0.5744724025974026,0.42234131988230345,0.0,0.7206873246359596,0.7047347733583356,0.43029563012186817,0.18600897765673075,0.4928702010968921,1.0,0.0,0.0,1.0,0.0,0.0,0.0
427,0.020527859237536656,0.12053832650672908,0.0787806808269565,0.07879281421847739,0.09800659010959496,0.07437541878051115,0.02572860999393973,0.14840338726982036,0.10837438423645321,0.48148148148148145,0.30158730158730157,0.0,1.0,0.0,0.05034163987138263,0.5297171310520182,0.9769083392154885,0.14146843549862761,0.21327110389610388,0.33312316099201345,0.0,0.7934134802465849,0.7002993040279831,0.5243384131307676,0.48827356634891816,0.5467397928092627,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1465,0.6586510263929619,0.660620245757753,0.006775313576842495,0.0067751495882279345,0.0004651071384119539,0.0008614913372259979,0.0004958404495620076,0.0005593916193403873,0.3448275862068966,0.3333333333333333,0.8236331569664903,0.0,1.0,0.07692307692307693,0.6654943729903537,0.28604725076808984,1.0,0.0050320219579139975,0.9077719155844156,1.0,0.5,0.3199664120261331,0.25206447657855835,0.23481344072134688,0.4998234730418117,0.43851310176721514,0.09886492622020432,0.0,0.0,0.0,0.0,0.0,0.0
1680,0.03577712609970674,0.05558806319485079,0.3659799449177406,0.36598996315220866,0.012891983780207398,0.01991002201588973,0.009916808991240152,0.002480510154113944,0.0,0.009259259259259259,0.20987654320987653,1.0,0.0,0.23076923076923078,0.09103697749196142,0.6908570823180422,0.24876474740344862,0.030535224153705392,0.1690340909090909,0.8142076502732241,1.0,0.6130829254306019,0.46114456745158855,0.5102965693756311,0.8755737126141121,0.06940889701401584,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1473,0.6486803519061584,0.6506729081334114,0.18218005478644128,0.18218009627633316,0.000681283695702017,0.0009572125969177754,0.0008264007492700127,0.0010405339791586074,0.5270935960591133,0.4074074074074074,0.2310405643738977,0.0,1.0,0.0,0.35811897106109325,0.35755906346011235,0.6218614500352929,0.006747483989021043,0.8308644480519481,1.0,1.0,0.35314477645564957,0.25206447657855835,0.28273886397257375,0.6889594996721643,0.5522851919561244,0.18183881952326902,0.0,0.0,0.0,0.0,0.0,0.0
1940,0.7395894428152493,0.7472205968402574,0.006258325181001789,0.0062586241642379825,0.0006616312814029204,0.002297310232602661,0.0011569610489780178,0.0009862685059067408,0.4975369458128079,0.4444444444444444,0.2345679012345679,1.0,0.0,0.15384615384615385,0.1167604501607717,0.7184023731327471,0.7983261066854896,0.015096065873741992,0.765827922077922,0.7134300126103404,0.0,0.3505847174718906,0.3606072626302694,0.28273886397257375,0.3989509255056236,0.5393053016453382,0.46606129398410895,0.0,0.0,0.0,0.0,0.0,0.0
1582,0.0,0.005851375073142188,0.07885771679713094,0.07886461163759129,0.004926205184306892,0.00507322676366421,0.005784805244890089,0.005283938696752112,0.3103448275862069,0.3194444444444444,0.8112874779541446,1.0,0.0,0.15384615384615385,0.0,0.5054560864498359,0.12866794393465764,0.00777676120768527,0.24370941558441558,0.9702606137032367,1.0,0.5276588772605321,0.3047491976488406,0.472632493483927,0.9356433146719121,0.387629494210847,0.9994324631101023,0.0,0.0,0.0,0.0,0.0,0.0
1163,0.7055718475073314,0.7103569338794616,0.0052778883885916195,0.005277726591730293,0.0007009361100011137,0.0015315401550684408,0.0005509338328466751,0.0009640964444985853,0.3497536945812808,0.4444444444444444,0.8059964726631393,1.0,0.0,0.11538461538461539,0.5560691318327975,0.2895433838330332,0.6639104567913683,0.008462946020128087,0.8308644480519481,0.9044766708701135,0.0,0.35562291355192827,0.31556741552774875,0.23481344072134688,0.3317193725727543,0.4983546617915905,0.16685584562996597,0.0,0.0,0.0,0.0,0.0,1.0
1593,0.7442815249266862,0.7524868344060854,0.025711448369452803,0.025712643309805557,0.001493583486731345,0.003733129127979324,0.002258828714671368,0.001753059485656488,0.4039408866995074,0.2962962962962963,0.2222222222222222,0.0,1.0,0.11538461538461539,0.09354903536977492,0.6449835787689374,0.747907633356862,0.016010978956999083,0.5050730519480519,0.6497477931904161,1.0,0.42204108382657135,0.36825213659803113,0.3398220114119332,0.6259141574620468,0.4251066422912858,0.8530079455164586,0.0,0.0,0.0,0.0,0.0,0.0
1526,0.0,0.0076067875950848445,0.0680203735489601,0.06802243099281964,0.0016049471677595593,0.004211735426438212,0.003305602997080051,0.002723971466541238,0.5960591133004927,0.48148148148148145,0.2222222222222222,0.0,1.0,0.11538461538461539,0.0,0.6746477381078505,0.4201875567207825,0.012694419030192132,0.3603896103896103,0.6381883144178225,1.0,0.4283900301062936,0.33518445061483537,0.37619461337966986,0.7898320472083522,0.6127361365021329,0.9153234960272417,0.0,0.0,0.0,0.0,0.0,0.0
601,0.02287390029325513,0.12521942656524282,0.11467227858302194,0.11467650178322603,0.04748023294661749,0.025461855078012827,0.007713073659853451,0.06438481933307129,0.19704433497536947,0.37962962962962965,0.2275132275132275,0.0,1.0,0.0,0.057777331189710616,0.43754635024896704,0.3803569627911667,0.1492451967063129,0.6630478896103896,0.4634300126103405,0.0,0.7289614352714686,0.7038693159280228,0.43179843614248475,0.18989257073687393,0.4895795246800731,1.0,0.0,0.0,1.0,0.0,0.0,0.0
357,0.42932551319648093,0.43651258045640723,0.013124156022799257,0.01312405977736021,0.0008778078386929834,0.0015315401550684408,0.0005509338328466751,0.0023233214541697454,0.9458128078817734,0.7870370370370371,0.2821869488536155,0.0,1.0,0.0,0.9229300643086816,0.3317088674647738,0.6078451144499344,0.013151875571820676,1.0,1.0,0.0,0.3753046470190674,0.34412751072806613,0.24453471716721067,0.30367680435769406,0.9507617306520415,0.24279228149829737,0.0,0.0,1.0,0.0,0.0,0.0
1626,0.3448680351906158,0.34640140433001754,0.13444671880307058,0.13444629090835136,0.00034719265261737406,0.0007657700775342204,0.0004407470662773401,0.0005170317666111877,0.4729064039408867,0.4166666666666667,0.746031746031746,1.0,0.0,0.11538461538461539,0.716137459807074,0.250132429282763,0.8879701522637895,0.0038883806038426346,0.7970779220779222,1.0,1.0,0.29479591209781475,0.21712163282968522,0.2240589851363092,0.5558581731981642,0.5397318708104815,0.06617480136208856,0.0,0.0,0.0,0.0,0.0,0.0
144,0.2281524926686217,0.23112931538911644,0.41758872945267717,0.4175882723075814,0.0006681820861692859,0.0011486551163013305,0.0007162139827006776,0.000991962498330625,0.41379310344827586,0.4537037037037037,0.23809523809523808,0.0,1.0,0.0,0.5739549839228296,0.2723805487869478,0.7119088434002219,0.006633119853613906,0.7101258116883118,1.0,1.0,0.3514448972904336,0.25206447657855835,0.26911968441073564,0.6439199071972562,0.5371115173674589,0.15232690124858114,1.0,0.0,0.0,0.0,0.0,0.0
195,0.02873900293255132,0.03920421299005266,0.043628320240685026,0.04363264742660178,0.005777809803934413,0.009955011007944865,0.005344058178612748,0.007200829873513997,0.3793103448275862,0.375,0.2275132275132275,1.0,0.0,0.11538461538461539,0.07264871382636656,0.44252569128085606,0.31309871937077743,0.01681152790484904,0.19602272727272727,0.6890500210172341,1.0,0.5417904028508816,0.37553640330316257,0.43179843614248475,0.8433953699500681,0.4502132845825716,0.9996594778660614,0.0,1.0,0.0,0.0,0.0,0.0
757,0.45278592375366566,0.4523112931538912,0.1101134439400386,0.11011258944633405,5.895724289728993e-05,0.0002871637790753326,0.00011018676656933502,9.904095913059293e-05,0.5467980295566502,0.4537037037037037,0.2310405643738977,0.0,1.0,0.038461538461538464,0.8598271704180065,0.2825511177031465,0.5966522133709791,0.002516010978956999,1.0,1.0,0.0,0.15163741372601228,0.1435216905268472,0.1120294925681546,0.2980783779694356,0.6043875685557587,0.010669693530079445,0.0,0.0,0.0,1.0,0.0,0.0
771,0.3618768328445748,0.3627852545348157,0.03417831777938578,0.03417765146636214,9.171126672911768e-05,0.0004786062984588877,0.00016528014985400254,0.00015460052156970603,0.5615763546798029,0.47685185185185186,0.2310405643738977,0.0,1.0,0.038461538461538464,0.9130827974276527,0.45407352473779,0.5678128466270042,0.004231473010064044,1.0,1.0,0.0,0.18495914145861922,0.1962064115971296,0.14138117265832295,0.28365360367176073,0.6069469835466179,0.022020431328036324,0.0,0.0,0.0,1.0,0.0,0.0
1654,0.6304985337243402,0.6319485078993563,0.029212116926119962,0.029211843061318694,0.0003406418478510085,0.0009572125969177754,0.0004958404495620076,0.0005507643580920777,0.5615763546798029,0.4444444444444444,0.24514991181657847,0.0,1.0,0.5576923076923077,0.41489147909967844,0.3531094395592754,1.0,0.005832570905763952,0.7463474025974026,0.8949138293400589,0.5,0.293157474348209,0.23554866395009197,0.2240589851363092,0.4998234730418117,0.5842169408897014,0.07627695800227016,0.0,0.0,0.0,0.0,0.0,0.0
1142,0.3278592375366569,0.34406085430076067,0.02063762826585329,0.02063844545337451,0.003000268582995421,0.004786062984588877,0.0022037353313867003,0.004665105247410872,0.5073891625615764,0.44907407407407407,0.8236331569664903,1.0,0.0,0.15384615384615385,0.6631832797427654,0.41731115584277995,0.6944640516285167,0.020585544373284536,0.6292613636363636,0.5386717108028584,0.0,0.48370778462735775,0.43903934225235297,0.319745462230258,0.3470015635244868,0.5615478366849482,0.9484676503972759,0.0,0.0,0.0,0.0,0.0,1.0
176,0.09736070381231672,0.0994733762434172,0.022836311890602142,0.022836740680664186,0.0005240643813092438,0.0019144251938355509,0.0011018676656933501,0.0007951746692566855,0.5172413793103449,0.4166666666666667,0.2310405643738977,1.0,0.0,0.11538461538461539,0.24567926045016078,0.4561923932619981,0.43974992437229005,0.0050320219579139975,0.354301948051948,0.8498318621269441,1.0,0.3303090503205194,0.21712163282968522,0.2947613121375068,0.780047410097342,0.5489945155393053,0.15811577752553913,0.0,1.0,0.0,0.0,0.0,0.0
261,0.031085043988269796,0.05090696313633704,0.12104993248182394,0.12105453152646244,0.009616581397024624,0.007849143294725759,0.004462564046058068,0.011447426677769377,0.3448275862068966,0.375,0.2275132275132275,1.0,0.0,0.11538461538461539,0.07857717041800644,0.5055620298760463,0.5094282545124533,0.03030649588289112,0.44439935064935066,0.8974358974358975,1.0,0.5870317652118705,0.46114456745158855,0.43891328339634156,0.7451959449235891,0.4298598415600244,1.0,0.0,1.0,0.0,0.0,0.0,0.0
868,0.6422287390029325,0.6424809830310123,0.2327898368601556,0.23278941909416925,0.00025548138588825636,0.0005743275581506652,0.0005509338328466751,0.0003695055992650954,0.49261083743842365,0.39814814814814814,0.42328042328042326,1.0,0.0,0.3076923076923077,0.5,0.4952855175336371,0.63335686195422,0.0037740164684354977,0.8731737012987013,1.0,1.0,0.268662829991603,0.1962064115971296,0.24453471716721067,0.6832097644626015,0.525716026812919,0.0717366628830874,0.0,0.0,0.0,0.0,0.0,1.0
37,0.09501466275659824,0.09830310122878877,0.038460362181532336,0.03846485100340745,0.002463102592153446,0.0030630803101368816,0.003911630213211393,0.003716020237484346,0.3793103448275862,0.4537037037037037,0.2222222222222222,0.0,1.0,0.11538461538461539,0.24065514469453375,0.4953914609598475,0.13360895432086317,0.006747483989021043,0.2837865259740259,0.9853930222782682,1.0,0.4662379421221865,0.25206447657855835,0.4347101228074295,0.9331215009835073,0.5449725776965265,0.929738933030647,1.0,0.0,0.0,0.0,0.0,0.0
489,0.02287390029325513,0.11059098888238736,0.14607337260164877,0.14608363567339508,0.07538666125133472,0.06671771800516894,0.023579968045837695,0.11480184388729207,0.19704433497536947,0.48148148148148145,0.30864197530864196,0.0,1.0,0.0,0.055868167202572344,0.524419959741498,0.9606735908036704,0.12385635864592862,0.2089082792207792,0.31168558217738546,0.0,0.7700862227865729,0.6802856009520032,0.5096156103975391,0.480153326272255,0.5498476538695917,1.0,0.0,0.0,1.0,0.0,0.0,0.0
813,0.7759530791788857,0.7776477472205968,0.004755661546779053,0.004759429343019719,0.0021486639633678997,0.004403177945821767,0.003305602997080051,0.002864164461826267,0.4433497536945813,0.37962962962962965,0.2222222222222222,0.0,1.0,0.3076923076923077,0.0297427652733119,0.48628032630575274,0.1569022889986891,0.006747483989021043,0.19673295454545456,1.0,1.0,0.45415446371884405,0.25206447657855835,0.4192124357198206,0.9215211580168458,0.4819012797074954,0.8707150964812713,0.0,0.0,0.0,0.0,1.0,0.0
705,0.02404692082111437,0.12170860152135751,0.3399224509702642,0.339925574117431,0.040438117822774525,0.02527041255862927,0.007878353809707455,0.05622860654891951,0.22660098522167488,0.4166666666666667,0.2310405643738977,0.0,1.0,0.0,0.06069131832797428,0.41106049369636616,0.3395179993949783,0.1422689844464776,0.6376826298701299,0.3796763345943674,0.0,0.7146865463780285,0.6966932314016805,0.41580764082936106,0.16946587986079586,0.5020109689213894,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1417,0.9413489736070382,0.9432416617905208,0.08547241037615971,0.08547190009250466,0.00036029426215010516,0.0008614913372259979,0.0003305602997080051,0.0004498254014868567,0.4039408866995074,0.3287037037037037,0.8112874779541446,1.0,0.0,0.23076923076923078,0.08460610932475884,0.2751350778684183,0.63335686195422,0.005718206770356815,1.0,1.0,0.0,0.2979703852376759,0.26699361725145154,0.19844083875361024,0.31643718162102186,0.45569774527726997,0.0717366628830874,0.0,0.0,0.0,0.0,0.0,0.0
1519,0.8005865102639296,0.8016383850204798,0.32110094570127345,0.32110101496282867,0.000740240938599307,0.0006700488178424428,0.0009916808991240153,0.0007929315813321251,0.21674876847290642,0.3333333333333333,0.2821869488536155,0.0,1.0,0.038461538461538464,0.01889067524115756,0.346964720839072,0.4692951497428658,0.005718206770356815,1.0,1.0,1.0,0.36039486349765504,0.23554866395009197,0.30025594665038624,0.7652695818832905,0.39018890920170635,0.19886492622020432,0.0,0.0,0.0,0.0,0.0,0.0
992,0.41935483870967744,0.42598010532475133,0.40471070335458526,0.4047098798795282,0.0007467917433656725,0.0015315401550684408,0.0004958404495620076,0.0010594276812924052,0.43349753694581283,0.44907407407407407,0.746031746031746,1.0,0.0,0.11153846153846154,0.8708802250803859,0.256171204576756,0.525461329030957,0.010064043915827997,0.9435876623376623,0.8949138293400589,0.0,0.3611731214287177,0.33518445061483537,0.2240589851363092,0.26247036868916124,0.5135892748324192,0.1712826333711691,0.0,0.0,0.0,0.0,0.0,1.0
1860,0.9835777126099706,0.9853715623171445,0.15804299053944362,0.1580427592148752,0.000609224843271996,0.0011486551163013305,0.0006060272161313426,0.00047139355460763046,0.11822660098522167,0.25925925925925924,0.8201058201058201,1.0,0.0,0.11538461538461539,0.00472266881028939,0.2969594236677614,0.9160028234345063,0.005718206770356815,0.7825689935064934,1.0,1.0,0.34339607184549537,0.26699361725145154,0.25341066522647754,0.541836889090634,0.28567946374162095,0.1409761634506243,0.0,0.0,0.0,0.0,0.0,0.0
