,Result
10197,1
10663,1
165,1
7575,0
7990,0
9000,0
4794,0
10967,0
5314,0
8014,1
9314,0
2609,1
8558,0
3272,1
2266,0
8109,0
2947,1
10509,1
8341,1
8501,1
2660,0
4899,1
4942,0
2244,0
9151,0
2531,1
3012,1
8319,0
2325,0
6510,0
4160,1
3157,1
4122,0
9987,0
1136,0
57,1
5825,0
7666,1
6634,0
8997,0
558,1
9451,1
732,1
771,0
6967,1
1363,1
9935,1
936,1
4639,1
6259,1
5253,1
3215,0
6666,1
2580,0
8736,1
10957,1
4377,1
913,0
1887,0
8465,1
8085,0
10261,0
842,1
4404,1
2471,0
10208,1
10690,0
11033,1
10927,0
2730,0
3579,1
4355,0
6462,0
1732,1
8446,0
9449,1
8156,1
4018,1
10464,0
9779,1
7680,0
3993,1
8920,1
4618,1
579,1
5918,1
31,1
10308,1
6597,1
9817,0
6338,0
6674,1
5808,1
3586,0
479,0
9089,0
509,1
7155,1
5933,0
623,0
2260,0
10274,0
7801,1
7183,0
6476,1
7121,1
9936,1
5358,1
100,0
3825,1
4991,1
3438,0
4526,1
7544,1
5092,1
325,1
7032,0
10483,1
9331,1
1445,1
1253,1
302,1
6029,0
1579,1
5183,1
561,1
7265,1
2714,0
6299,1
6526,0
4333,1
7849,1
294,1
4511,0
6076,1
5927,1
2462,0
7922,1
10032,0
4747,1
8838,0
4822,0
5309,1
9125,0
9702,0
5919,1
4805,1
8154,0
5672,1
10678,1
9244,1
10980,1
7627,1
2109,1
10303,1
5756,0
5969,1
10131,1
7852,1
3814,0
3538,0
5001,1
228,1
61,0
101,0
1108,1
1895,1
8622,0
10580,1
8856,1
10891,0
4303,0
10903,1
6518,0
2650,0
6955,0
3806,1
1742,0
2574,1
2875,0
5235,0
6682,0
8205,1
4115,0
4976,0
3706,0
3146,0
1864,1
9631,0
1120,1
804,1
9481,0
6427,1
7117,1
2585,1
8089,1
9922,0
6415,0
8207,0
7920,1
10367,1
330,1
705,1
2540,1
7788,1
4969,1
8886,1
10453,0
10826,0
861,1
2120,1
9700,0
7260,0
8769,1
5507,1
713,1
9390,0
122,1
1956,0
10347,0
4242,1
7374,0
8909,0
3509,1
273,1
1325,0
8086,0
245,0
6939,0
6699,0
6668,1
9743,1
5004,0
6451,0
6215,1
7415,0
8627,1
1428,0
7860,1
4951,0
9283,0
2413,1
4760,1
418,0
6453,1
9827,1
10317,1
9548,1
2982,1
5562,0
3681,1
6602,0
6112,0
8507,0
4469,1
4015,1
3651,0
4296,0
4367,0
2823,1
4779,0
5621,1
9727,1
1877,1
5723,1
7006,0
10224,1
7621,0
1736,1
3962,0
3903,1
7300,1
5535,0
6723,1
9310,0
3194,1
3125,1
7191,0
3262,1
5032,1
6892,0
9492,0
115,1
9401,0
7654,1
5851,0
8493,1
2863,1
7005,1
1178,0
4027,1
9748,0
1832,1
7981,1
10711,1
654,0
8768,0
885,1
7573,0
7851,1
5191,0
4895,0
2554,1
5596,0
4796,1
10953,1
10843,1
9621,0
504,1
8786,0
9841,0
3022,0
3843,1
2750,1
135,1
9798,1
4308,0
2970,1
3590,0
5555,0
1232,1
5708,0
9324,0
1474,0
6138,1
7435,0
9362,1
1806,0
3446,1
7277,1
10568,1
2097,0
1169,1
10955,1
92,1
1685,1
5955,1
2994,1
4788,0
888,0
1272,0
2612,1
7665,0
4203,0
6786,1
2228,0
4912,0
4258,1
5404,1
2776,1
3031,0
1961,1
6032,0
9802,0
10996,0
334,0
10264,1
6855,1
6064,0
3451,1
1370,0
4044,1
6343,1
9782,0
4744,1
6686,0
1,0
4769,0
4918,0
6061,1
5304,1
10543,1
6585,0
5009,1
4926,1
3337,0
4701,0
10617,1
2589,1
8266,1
6062,0
8396,1
6917,1
7909,1
395,1
1336,1
8671,1
10456,1
3694,1
3638,1
6324,1
383,0
1033,1
10399,1
1714,1
10052,0
9737,0
1074,0
6836,1
10780,0
9682,1
10432,1
1544,0
6536,0
7972,1
8287,0
10596,1
9506,1
1242,1
5585,1
8979,1
2622,1
4124,1
5896,0
4676,1
9322,0
6418,1
6380,0
2007,0
4795,1
9600,1
9016,0
8684,1
6124,0
3606,0
10446,0
4699,1
9958,0
7410,0
5981,0
261,1
647,1
1162,0
8942,1
1214,0
4622,1
8402,1
10508,1
10307,0
8885,0
3296,1
6300,0
1274,1
5311,0
4085,0
93,0
471,0
2486,0
7738,0
8879,1
2009,1
8133,0
6473,0
5030,1
8350,1
2384,1
3908,0
2977,1
8425,0
3370,0
5946,0
112,0
1761,0
4847,0
8889,0
10827,1
6465,0
1526,1
10191,1
3984,1
7763,0
475,0
7177,1
7731,0
7409,1
8953,0
10935,0
9412,0
5641,0
10137,0
7747,1
1674,0
2602,1
1207,1
10473,1
852,1
4644,0
8840,1
5181,1
5194,1
6413,0
7807,0
34,0
6737,1
7616,1
6053,1
1952,0
4090,1
4705,0
3734,1
7235,1
4423,1
5977,0
2397,1
1784,0
6277,1
6577,0
1759,0
10220,1
10484,1
2680,1
1223,0
5342,0
270,0
2663,0
3293,0
7608,0
9826,0
9400,0
9015,1
1152,1
4260,1
3365,1
3736,0
7991,0
5195,0
3288,0
3270,1
9452,1
3554,1
6615,1
1507,1
10952,0
1987,1
7342,1
10061,1
7902,1
4550,1
3868,0
3266,0
10754,1
5605,0
8706,1
7075,0
7355,1
7301,1
6122,1
9535,1
9058,1
4151,0
4767,0
6265,1
3732,1
7484,1
2209,1
9604,0
1705,0
272,1
10234,1
1273,1
360,0
7641,1
4986,1
5925,1
727,1
1679,0
213,1
10747,1
5899,1
10971,1
7040,0
10085,1
5532,0
1397,1
3785,0
9252,0
390,0
10397,1
8724,1
263,1
1601,1
2304,1
1929,1
2562,0
8630,1
5854,0
6308,1
4155,0
8241,1
5252,1
1486,1
438,1
8378,1
8895,1
2759,1
3513,0
5362,1
10818,1
4698,1
2455,1
8984,1
5379,1
8043,1
6598,0
9487,1
5119,0
2237,0
1008,0
8106,1
4798,0
10044,0
10083,1
3770,0
10353,0
6738,1
6047,1
7024,0
6769,1
542,1
2876,0
6707,1
8878,1
7825,0
720,0
2593,0
10552,1
4249,0
252,1
3578,1
8038,0
3163,0
6811,1
2965,1
4470,1
5415,0
5536,0
6759,0
2529,0
8070,1
7199,1
7499,0
2513,1
7188,1
2254,1
8227,1
8522,1
3778,0
8902,1
7104,0
2047,1
8854,1
5693,0
9832,1
1067,1
1794,1
6206,0
10051,0
4997,1
6360,1
9768,1
3375,1
4961,1
3405,1
5909,0
5117,0
7773,0
1801,0
5557,1
8461,1
2464,0
7553,1
9596,0
10828,0
9194,0
6782,1
4227,1
8813,0
8632,0
11037,0
1602,0
4478,0
3862,1
9532,1
9020,1
1134,1
7793,1
1675,1
7120,1
10785,0
2053,1
7138,1
3852,0
3149,0
5065,1
6302,0
10174,1
4913,1
5509,1
5758,0
9639,0
7293,1
8677,1
1820,1
8668,1
592,1
6804,1
5336,1
9212,0
4758,0
3213,1
4916,1
6588,0
3323,1
6178,1
4936,1
2049,1
6664,1
6407,1
6789,1
3435,1
436,0
7095,1
4091,0
10010,1
3054,0
6188,0
3388,0
1099,1
7520,1
9026,0
3447,0
521,1
8172,0
513,1
2582,1
2112,0
7610,1
9609,0
2192,1
9512,0
1420,1
8379,0
7988,0
3809,1
9624,1
9411,1
405,1
6825,0
10460,0
10031,0
4524,1
2928,1
3940,0
3245,1
131,1
10364,0
8583,1
1240,0
9773,0
8595,0
3898,0
3328,0
10830,1
5406,0
2467,1
1535,1
1230,0
968,0
6835,0
2478,0
10384,1
4718,1
9040,0
4022,1
3570,1
2221,1
10566,1
5725,0
8977,0
1852,0
741,0
3875,1
8118,1
2999,0
2654,0
566,1
6606,1
2407,1
7728,0
10963,0
7564,0
1892,0
6106,0
6155,0
8726,1
7529,1
8489,0
3234,1
9429,0
10616,0
9186,1
9824,1
4467,0
332,1
5546,0
6346,0
9070,0
9966,1
9327,1
8593,0
5429,1
7381,1
7315,0
10060,1
7198,1
4780,1
5389,1
7958,1
8970,0
7577,1
6760,1
2180,1
8931,1
4005,0
4108,1
7421,0
685,1
10799,0
2932,0
1531,0
1960,1
4123,0
9988,1
9860,0
1824,1
3205,0
1753,1
6813,1
308,1
7700,1
6667,0
522,0
4162,0
3928,0
1880,0
6806,0
8939,1
7748,1
8481,0
6081,0
8701,1
8243,1
2618,0
6903,0
2383,1
4106,0
3891,0
10000,1
6589,1
5568,0
8772,0
5265,1
454,0
7292,1
508,1
2042,0
7775,1
7097,0
10857,1
6503,0
1755,1
5180,1
5303,1
8644,0
2623,1
10254,1
7967,0
9676,0
7126,0
3767,1
314,1
10943,1
7874,0
6802,1
6303,0
8302,1
2713,0
7203,0
9605,1
226,0
10390,1
10496,1
5274,1
5173,1
10919,1
192,1
1405,0
1110,0
3632,0
331,1
9012,1
9047,1
8023,1
5547,1
2247,0
3820,1
2212,1
2721,1
2054,1
7158,0
6846,0
3769,1
4451,1
796,1
6675,0
3745,0
1075,1
10047,1
1593,1
2600,1
2904,1
7803,0
8715,1
2963,0
481,0
2136,1
7900,1
2201,0
469,1
2039,0
7862,0
688,1
7827,1
3336,1
7467,1
9427,1
5023,1
995,1
6403,0
2723,1
2872,1
455,1
7935,1
1599,1
2077,1
5069,0
5687,1
7431,0
3492,0
3646,0
4973,0
2906,1
10138,1
5997,0
4664,0
271,1
11012,1
10907,1
7767,0
6491,0
7193,0
1881,1
8634,1
1804,0
533,0
1410,1
2684,1
10154,0
7366,0
4182,0
6227,1
5428,1
10395,1
11017,0
6839,1
8561,0
2060,1
601,1
8604,1
9536,0
8335,1
5349,1
1787,0
5622,0
10474,1
627,1
4993,0
8097,0
9044,1
4209,0
9027,0
4190,1
6595,1
7337,0
9740,1
8187,1
3858,0
4560,1
7692,0
45,1
1516,1
4732,0
8922,1
176,0
175,1
5366,1
5260,0
9931,1
2068,0
3281,0
2588,0
6468,1
501,1
10608,1
2937,0
4393,1
507,1
8362,1
2001,0
11021,0
10111,1
2359,1
2410,1
1078,0
2774,0
839,0
10622,0
3264,0
3776,0
8529,0
545,1
9192,0
10345,1
4466,1
7147,0
5475,0
9879,1
3577,1
572,0
2292,1
10427,0
8260,1
2984,0
9302,1
9626,0
1034,0
5036,1
5790,0
2466,1
8894,0
9514,1
8098,1
5432,0
4238,1
8675,1
8393,1
2621,0
4611,1
664,0
10705,0
9984,1
7783,0
2366,0
2744,0
5625,1
3345,0
4580,1
6696,1
3360,1
9354,1
5126,0
1703,0
8000,1
4838,0
1475,0
2301,1
8452,1
9333,0
6104,1
4686,0
9167,1
8685,1
10691,0
4806,0
503,0
5928,1
10009,0
11020,0
1498,0
5043,0
2769,0
5054,1
5861,0
9110,1
4493,0
10792,1
4462,0
6481,1
9813,1
5438,0
1187,1
10055,1
4782,0
8845,1
8892,1
1715,0
5335,1
9041,1
10258,1
3737,1
1819,1
9407,1
6450,0
7110,1
2428,0
9823,1
714,0
4932,1
1644,0
9573,1
4204,0
4645,0
8850,1
2477,0
4175,0
7473,0
575,1
767,0
1986,1
1830,1
4324,1
3297,0
44,0
10501,0
8616,1
3781,0
10173,0
1701,1
908,1
3544,0
8806,0
6381,0
6579,1
1551,1
5503,0
7176,1
10918,0
7507,1
7818,1
9955,1
6524,1
4776,0
1704,0
1970,1
5133,0
1518,1
6501,1
9777,1
3605,1
9205,1
1091,0
2197,1
5956,0
490,1
9784,0
5762,1
5340,0
7875,0
2241,1
5348,0
10875,1
7628,1
5492,1
2096,0
2584,0
953,0
4321,1
7884,1
869,0
8115,1
3983,1
6317,0
1513,0
8139,1
4282,1
8177,1
8231,1
1361,1
1126,0
9172,1
9954,0
8515,0
1983,0
578,0
10296,0
141,0
1079,1
2514,1
5182,0
10932,1
2812,1
5692,0
9583,1
1470,0
8370,1
5075,1
1290,1
9184,0
766,1
2086,0
2847,0
1718,1
3482,0
624,0
1381,1
413,1
178,1
10128,1
386,0
2851,1
8767,1
4464,0
3072,1
8024,1
1382,0
429,1
5060,0
5785,1
6870,0
7285,0
8285,1
938,0
7630,1
10882,1
1369,0
1170,0
1560,1
7754,0
6105,1
2907,1
5681,1
8152,1
2670,0
1161,1
324,1
10248,1
8780,0
669,1
6154,0
7613,1
10152,0
2312,0
10648,0
1936,0
9723,0
10444,1
1851,0
8186,0
9286,1
7003,1
11041,1
768,0
2005,1
1348,1
5108,1
4869,0
2368,1
1383,1
8309,1
5363,0
10283,0
5817,0
6358,1
9160,1
5703,0
3486,1
9126,1
5445,1
7133,0
5653,0
8553,1
2074,0
354,1
4615,0
10522,0
8765,0
3414,0
8884,0
8068,1
5914,1
7650,0
4261,1
6009,1
520,0
7495,1
9231,1
7741,0
2559,1
9501,0
1303,0
1217,1
347,1
159,1
10008,0
3411,0
2563,1
3483,1
4072,0
9528,0
7412,1
2880,1
5100,0
3330,0
6875,0
8323,1
8438,1
279,1
8976,0
6495,1
596,1
6010,1
10985,0
841,1
4599,0
7129,1
3108,1
10604,0
1662,0
10304,0
7516,1
106,0
7979,0
4407,1
6837,0
7923,0
2079,1
4689,0
1537,1
3123,0
7635,1
10516,1
1155,1
1473,0
5168,1
5431,0
9526,0
7042,1
4512,1
7167,1
1186,0
6783,0
4665,0
608,0
6733,0
444,0
9243,1
5269,1
6441,1
9226,1
10299,0
5839,1
5994,1
6558,1
10692,0
8739,1
2172,1
3311,0
6479,1
4105,0
8117,1
3354,1
363,0
6083,1
196,1
9444,1
748,1
5154,1
478,0
1390,0
4168,0
2379,1
8162,1
5549,1
1557,1
4520,1
970,1
7808,0
1760,0
8343,1
7934,0
4080,0
4743,1
8428,1
3850,0
1109,1
8833,1
457,1
2506,1
4244,1
4014,0
188,0
10093,0
8295,0
5885,0
7276,0
4682,1
1396,0
2983,0
7489,0
628,0
9046,0
6670,1
10981,0
3664,1
4846,1
11019,0
5344,1
4154,0
3248,1
9580,0
7559,1
4410,1
10355,1
2327,1
5674,1
4165,0
3697,0
6439,1
7751,0
1219,1
1712,1
10494,1
9601,1
2398,0
2998,0
2789,1
2253,1
4654,1
8554,1
2815,1
5891,0
9304,1
10096,0
6422,1
379,1
4833,1
2810,1
7781,0
1763,1
1618,0
10209,1
8171,1
4959,1
359,1
2185,0
3087,1
762,1
1641,1
10864,0
7555,0
6639,1
10273,1
2975,0
10993,1
1379,1
2208,1
9474,0
5787,0
2772,1
9357,0
3085,0
2617,0
1721,0
4120,1
7269,0
4955,0
5213,0
4132,1
2056,0
10458,0
8870,0
6377,1
5578,0
5038,1
2075,1
8545,0
3302,0
1267,1
1495,1
2290,0
3050,1
8274,1
6545,1
9182,1
9067,1
5209,1
6680,0
5201,1
8200,1
580,1
10050,0
3839,0
6079,1
3166,0
4058,1
3059,0
2749,0
10684,1
6756,1
5174,1
516,1
6362,0
2641,0
7899,0
2530,1
10775,0
6757,0
8567,1
9081,0
2437,0
4704,0
9052,0
7836,1
5889,1
9616,1
6071,0
6477,1
3592,1
9623,0
2734,1
7524,1
8384,1
7720,1
4893,0
10632,0
2740,1
5241,1
9956,0
9863,1
7579,1
6704,0
7551,0
7014,0
5902,1
10626,1
510,1
1540,0
9904,1
6021,0
9572,1
2569,0
7214,1
4957,1
1848,1
1177,1
2944,1
3071,0
2440,0
90,0
5598,1
2231,1
2453,0
2519,1
223,0
6093,0
1573,1
9836,0
6247,1
6015,0
1156,1
1234,0
1837,1
7037,0
2524,1
236,1
749,1
6703,0
3916,1
1315,1
10836,1
4663,1
7316,1
1911,0
8737,0
3709,0
5606,1
9384,0
2116,0
7574,1
3195,0
10829,0
8834,1
2712,0
10668,0
6129,0
4420,0
5780,0
6677,0
3341,1
421,0
5540,1
5645,0
8822,1
661,0
9408,0
3033,0
5636,0
657,1
6134,1
956,1
8967,1
7587,0
3799,0
8779,1
9741,1
2518,1
3841,1
1811,1
1757,1
8602,0
8404,0
5212,1
6221,0
10591,1
6196,1
8821,0
3515,0
8401,0
7065,0
7261,0
9687,1
404,1
10476,0
8871,0
8127,1
8577,0
8408,1
9505,0
5772,1
6374,0
10408,1
8820,1
9386,0
3041,1
1595,1
4878,1
7321,1
6774,1
8673,1
10813,0
1934,1
5042,0
7257,1
1061,1
5699,0
402,1
10970,1
3265,1
5905,0
915,0
9587,0
6766,0
10583,1
4573,0
8472,0
6252,0
7084,1
8642,1
9848,1
4601,0
9994,1
5866,0
10518,1
8090,1
10442,0
9169,0
6750,0
7756,1
9137,1
3719,0
565,1
6698,0
8189,0
5034,0
6063,1
10974,0
7420,1
4290,1
9539,0
10764,0
6341,1
728,0
5697,1
296,1
8785,0
6535,1
2459,0
8217,1
4835,0
4541,1
6988,0
2216,1
7779,1
7314,0
9188,1
3255,1
8218,1
3733,0
4649,0
8270,1
8831,1
317,1
5157,1
1165,1
6257,1
8682,1
9159,0
5159,1
10887,1
10558,0
10905,0
9814,0
5593,1
5352,1
244,0
5010,0
3353,0
7805,1
105,0
7853,1
5145,0
1209,0
7372,0
7039,0
5239,0
6858,0
3355,1
295,1
6740,0
1803,1
8346,1
2158,0
976,0
1072,1
7723,0
2349,0
5158,1
8596,0
4056,1
3690,1
2150,1
10421,0
3185,0
10392,1
7291,0
512,0
4858,0
6736,1
8148,0
7210,0
8249,0
2491,0
2171,0
5565,1
1879,0
1076,1
6100,0
4221,1
5353,1
9822,1
3078,1
873,1
8971,1
8029,0
6172,1
6202,0
7508,0
9660,1
4201,1
4066,1
316,0
2753,1
4722,1
10342,1
3413,1
9706,0
201,1
7195,0
4879,1
3751,1
3036,1
5676,0
209,0
3005,0
8572,1
4659,1
276,1
10528,0
4966,1
9527,0
7906,1
5466,0
5656,0
599,1
7882,1
3292,1
6193,0
3870,0
10027,1
6200,0
8135,1
8559,1
9424,0
9369,1
156,0
1198,1
1611,0
6417,1
1722,1
2773,1
3673,1
1710,0
320,1
8054,1
6281,0
9383,1
10768,0
10641,1
10495,0
4220,0
2520,1
9414,1
5683,1
6630,1
7800,1
6306,1
2129,0
7283,1
11009,0
486,1
10916,1
9949,1
3833,0
9762,0
2106,0
8795,0
321,1
3914,1
8110,1
5479,1
2694,0
4323,0
7841,0
4149,1
6191,0
7242,0
1341,1
10237,1
7913,1
10551,1
266,0
9961,1
6255,0
10733,0
1338,1
6208,0
6520,0
6873,0
3661,1
6591,1
7430,1
6843,1
7239,0
5843,0
536,1
6997,0
8473,0
6397,1
7051,1
8802,1
9705,0
1057,1
10526,0
3621,0
9466,1
9262,0
10574,1
5047,1
4593,0
5618,0
1105,1
3130,0
2246,1
4084,0
3209,0
5210,1
6354,1
1941,1
5019,1
5951,0
5380,1
8551,1
8214,1
4092,1
6146,0
751,0
9749,1
2672,0
1768,0
9615,1
8605,1
4266,1
8111,1
3099,0
7148,0
8824,1
7460,0
3159,1
3155,0
1854,0
3780,0
3363,0
5214,1
1064,1
9915,1
9168,1
10510,0
7008,1
3474,1
2691,1
1574,0
9180,0
3665,1
5751,0
1686,0
6043,0
8045,1
10844,0
4674,0
1673,1
140,0
39,1
2443,1
231,1
5607,0
8475,1
400,1
4477,0
4180,0
7732,0
8998,1
10429,0
2504,1
6059,1
10539,1
10763,0
4069,1
6037,1
8279,1
5164,1
3771,1
3927,1
6649,0
6745,1
4358,0
1785,0
4474,1
11053,0
1276,0
7262,1
7769,0
8963,0
11023,1
1552,1
3705,1
10115,0
6927,1
9430,0
5178,1
1158,0
8477,0
3768,0
7845,0
4053,1
1446,0
2746,1
3165,1
5521,1
2741,1
6033,0
6957,1
241,0
10148,0
3591,1
497,1
1216,0
9294,1
7953,1
8929,0
7752,1
2777,0
2033,1
2941,0
7447,0
9753,1
3740,0
8926,0
9736,1
