,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square
60,1.0,1.0,1.0,0.0,0.6040268456375839,0.625,0.0,1.0,0.6103286384976526
608,0.0,0.0,0.6103286384976526,1.0,1.0,1.0,1.0,0.625,0.6103286384976526
24,1.0,1.0,1.0,0.625,0.6040268456375839,1.0,0.6103286384976526,0.0,0.0
94,1.0,1.0,0.6103286384976526,0.625,1.0,0.0,0.0,1.0,0.6103286384976526
402,0.6103286384976526,0.625,1.0,0.0,0.6040268456375839,1.0,0.0,1.0,1.0
375,0.6103286384976526,0.625,1.0,1.0,1.0,0.0,1.0,0.0,0.6103286384976526
760,0.6103286384976526,1.0,1.0,0.625,0.6040268456375839,0.0,1.0,1.0,0.6103286384976526
507,0.0,1.0,0.6103286384976526,0.625,1.0,0.0,0.0,1.0,0.0
552,0.0,0.625,1.0,0.0,1.0,0.625,1.0,1.0,0.6103286384976526
56,1.0,1.0,1.0,0.0,0.6040268456375839,0.625,1.0,0.625,0.0
312,0.6103286384976526,1.0,1.0,0.0,1.0,0.625,0.0,1.0,0.6103286384976526
184,1.0,0.625,0.6103286384976526,0.0,1.0,0.0,0.0,0.0,1.0
325,0.6103286384976526,1.0,0.6103286384976526,1.0,1.0,0.625,0.0,1.0,0.0
615,0.0,0.0,0.6103286384976526,0.625,1.0,0.625,1.0,1.0,1.0
30,1.0,1.0,1.0,0.625,0.6040268456375839,0.0,0.6103286384976526,0.0,1.0
925,0.0,0.625,0.0,1.0,0.6040268456375839,1.0,0.0,0.625,1.0
201,1.0,0.625,0.0,1.0,0.0,1.0,1.0,0.625,0.6103286384976526
267,1.0,0.0,0.6103286384976526,0.625,0.0,0.625,1.0,1.0,1.0
35,1.0,1.0,1.0,0.625,0.0,1.0,0.6103286384976526,0.0,0.6103286384976526
189,1.0,0.625,0.0,1.0,1.0,1.0,0.0,0.625,0.6103286384976526
859,0.6103286384976526,0.0,1.0,0.625,1.0,0.0,0.6103286384976526,1.0,0.0
582,0.0,0.625,0.0,1.0,0.6040268456375839,0.625,1.0,1.0,1.0
381,0.6103286384976526,0.625,1.0,0.625,1.0,1.0,1.0,1.0,0.6103286384976526
357,0.6103286384976526,1.0,0.0,0.625,0.0,0.625,1.0,1.0,1.0
197,1.0,0.625,0.0,1.0,0.6040268456375839,0.625,1.0,1.0,0.0
163,1.0,0.625,0.6103286384976526,1.0,0.0,1.0,1.0,0.625,0.0
368,0.6103286384976526,0.625,1.0,1.0,1.0,1.0,0.6103286384976526,0.0,0.0
814,0.6103286384976526,0.625,0.6103286384976526,1.0,1.0,0.0,1.0,1.0,0.6103286384976526
239,1.0,0.0,0.6103286384976526,1.0,1.0,1.0,0.6103286384976526,0.625,0.0
428,0.6103286384976526,0.0,1.0,1.0,0.6040268456375839,1.0,0.6103286384976526,0.0,1.0
869,0.6103286384976526,0.0,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,1.0,1.0
360,0.6103286384976526,1.0,0.0,0.0,1.0,0.625,0.6103286384976526,1.0,1.0
736,1.0,0.0,0.0,0.625,0.6040268456375839,0.625,1.0,1.0,0.0
281,1.0,0.0,0.0,1.0,0.6040268456375839,0.0,1.0,0.625,0.0
604,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.625,0.6103286384976526
144,1.0,0.625,0.6103286384976526,1.0,1.0,1.0,1.0,0.625,0.6103286384976526
424,0.6103286384976526,0.0,1.0,1.0,1.0,1.0,0.0,0.625,0.6103286384976526
475,0.6103286384976526,0.0,0.0,1.0,1.0,1.0,0.6103286384976526,0.0,0.0
629,1.0,1.0,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,0.625,0.0
737,1.0,0.0,0.0,0.625,0.6040268456375839,0.625,1.0,0.0,1.0
425,0.6103286384976526,0.0,1.0,1.0,1.0,0.625,1.0,0.625,0.0
840,0.6103286384976526,0.625,0.6103286384976526,0.0,1.0,1.0,0.0,0.0,1.0
535,0.0,0.625,1.0,0.625,1.0,1.0,1.0,0.0,0.6103286384976526
109,1.0,1.0,0.0,0.625,1.0,0.0,0.6103286384976526,1.0,0.6103286384976526
821,0.6103286384976526,0.625,0.6103286384976526,1.0,0.6040268456375839,1.0,1.0,0.0,1.0
279,1.0,0.0,0.0,1.0,0.6040268456375839,0.625,1.0,0.625,1.0
815,0.6103286384976526,0.625,0.6103286384976526,1.0,1.0,0.0,1.0,0.625,1.0
52,1.0,1.0,1.0,0.0,1.0,0.625,0.0,0.625,0.6103286384976526
346,0.6103286384976526,1.0,0.0,1.0,1.0,1.0,0.6103286384976526,0.0,0.6103286384976526
186,1.0,0.625,0.6103286384976526,0.0,0.0,0.625,1.0,1.0,1.0
364,0.6103286384976526,1.0,0.0,0.0,0.6040268456375839,0.625,1.0,1.0,1.0
483,0.6103286384976526,0.0,0.0,0.0,0.0,0.625,1.0,1.0,1.0
32,1.0,1.0,1.0,0.625,0.6040268456375839,0.0,0.0,0.625,1.0
858,0.6103286384976526,0.0,1.0,0.625,1.0,0.625,0.6103286384976526,1.0,1.0
824,0.6103286384976526,0.625,0.6103286384976526,1.0,0.0,1.0,1.0,0.625,1.0
955,0.6103286384976526,1.0,0.6103286384976526,1.0,0.6040268456375839,1.0,1.0,0.625,1.0
870,0.6103286384976526,0.0,0.6103286384976526,0.625,1.0,1.0,0.6103286384976526,1.0,1.0
345,0.6103286384976526,1.0,0.0,1.0,1.0,1.0,0.6103286384976526,0.625,0.0
278,1.0,0.0,0.0,1.0,0.6040268456375839,0.625,1.0,1.0,0.6103286384976526
825,0.6103286384976526,0.625,0.6103286384976526,1.0,0.0,1.0,1.0,0.0,0.0
936,0.0,0.0,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,1.0,0.0
567,0.0,0.625,0.6103286384976526,1.0,1.0,1.0,0.0,0.625,1.0
173,1.0,0.625,0.6103286384976526,0.625,1.0,0.625,1.0,1.0,1.0
49,1.0,1.0,1.0,0.625,0.0,0.0,0.0,0.0,0.6103286384976526
771,0.6103286384976526,1.0,1.0,0.0,0.6040268456375839,0.625,1.0,1.0,0.6103286384976526
51,1.0,1.0,1.0,0.0,1.0,0.625,0.6103286384976526,0.0,0.6103286384976526
547,0.0,0.625,1.0,0.625,0.0,1.0,0.6103286384976526,1.0,1.0
543,0.0,0.625,1.0,0.625,0.6040268456375839,1.0,1.0,0.0,1.0
208,1.0,0.625,0.0,0.625,1.0,1.0,0.0,0.625,1.0
53,1.0,1.0,1.0,0.0,0.6040268456375839,1.0,0.6103286384976526,0.625,0.0
335,0.6103286384976526,1.0,0.6103286384976526,0.625,0.0,0.0,1.0,1.0,1.0
414,0.6103286384976526,0.625,0.0,1.0,1.0,1.0,0.0,0.0,0.0
791,0.6103286384976526,1.0,0.0,1.0,0.6040268456375839,0.0,0.0,1.0,0.6103286384976526
155,1.0,0.625,0.6103286384976526,1.0,1.0,0.0,1.0,0.0,0.6103286384976526
59,1.0,1.0,1.0,0.0,0.6040268456375839,0.625,0.6103286384976526,0.0,1.0
472,0.6103286384976526,0.0,0.0,1.0,1.0,1.0,1.0,0.625,0.6103286384976526
266,1.0,0.0,0.6103286384976526,0.625,0.6040268456375839,0.0,1.0,1.0,1.0
704,1.0,0.625,0.0,0.0,0.6040268456375839,0.0,1.0,0.625,1.0
628,1.0,1.0,0.6103286384976526,1.0,1.0,0.0,0.6103286384976526,0.625,0.6103286384976526
832,0.6103286384976526,0.625,0.6103286384976526,0.625,1.0,1.0,1.0,1.0,0.0
759,0.6103286384976526,1.0,1.0,0.625,0.6040268456375839,0.625,0.0,1.0,1.0
140,1.0,0.625,1.0,0.0,1.0,0.0,1.0,0.625,0.6103286384976526
150,1.0,0.625,0.6103286384976526,1.0,1.0,0.625,1.0,0.625,1.0
609,0.0,0.0,0.6103286384976526,1.0,1.0,1.0,0.6103286384976526,1.0,0.6103286384976526
657,1.0,1.0,0.6103286384976526,0.0,0.6040268456375839,0.0,0.6103286384976526,0.0,1.0
726,1.0,0.0,0.6103286384976526,0.625,1.0,0.625,1.0,1.0,0.6103286384976526
740,0.6103286384976526,1.0,1.0,1.0,1.0,0.0,0.6103286384976526,0.625,0.6103286384976526
723,1.0,0.0,0.6103286384976526,1.0,0.6040268456375839,0.0,0.6103286384976526,1.0,0.0
750,0.6103286384976526,1.0,1.0,0.625,1.0,1.0,0.6103286384976526,0.0,0.6103286384976526
257,1.0,0.0,0.6103286384976526,1.0,0.0,0.0,1.0,0.625,0.0
114,1.0,0.625,1.0,1.0,1.0,0.625,0.6103286384976526,0.625,1.0
751,0.6103286384976526,1.0,1.0,0.625,1.0,0.625,0.6103286384976526,0.0,1.0
948,1.0,0.625,1.0,0.625,1.0,1.0,0.6103286384976526,1.0,0.6103286384976526
828,0.6103286384976526,0.625,0.6103286384976526,1.0,0.0,1.0,0.0,0.0,1.0
251,1.0,0.0,0.6103286384976526,1.0,0.6040268456375839,0.0,1.0,1.0,0.6103286384976526
433,0.6103286384976526,0.0,1.0,0.625,1.0,1.0,0.0,0.625,1.0
417,0.6103286384976526,0.625,0.0,0.625,1.0,0.0,1.0,1.0,1.0
393,0.6103286384976526,0.625,1.0,0.0,1.0,1.0,1.0,0.0,0.6103286384976526
909,0.0,1.0,0.0,1.0,0.0,1.0,0.6103286384976526,0.625,0.6103286384976526
323,0.6103286384976526,1.0,0.6103286384976526,1.0,1.0,1.0,0.0,0.0,0.6103286384976526
613,0.0,0.0,0.6103286384976526,1.0,1.0,1.0,0.0,0.0,0.6103286384976526
118,1.0,0.625,1.0,1.0,0.0,0.625,1.0,0.625,0.0
347,0.6103286384976526,1.0,0.0,1.0,1.0,1.0,0.0,0.625,0.6103286384976526
277,1.0,0.0,0.0,1.0,0.6040268456375839,1.0,1.0,0.625,0.6103286384976526
927,0.0,0.625,0.0,0.0,0.6040268456375839,1.0,1.0,0.625,1.0
529,0.0,0.625,1.0,1.0,1.0,0.625,1.0,0.625,0.0
802,0.6103286384976526,1.0,0.0,0.0,0.6040268456375839,0.0,1.0,1.0,0.6103286384976526
153,1.0,0.625,0.6103286384976526,1.0,1.0,0.625,0.0,0.0,1.0
495,0.0,1.0,1.0,0.0,0.6040268456375839,1.0,0.6103286384976526,0.625,1.0
484,0.0,1.0,1.0,0.625,1.0,0.625,1.0,0.625,0.0
784,0.6103286384976526,1.0,0.6103286384976526,0.0,0.6040268456375839,1.0,1.0,1.0,0.6103286384976526
390,0.6103286384976526,0.625,1.0,0.625,0.0,1.0,0.0,1.0,1.0
658,1.0,1.0,0.6103286384976526,0.0,0.0,0.625,1.0,0.0,0.6103286384976526
540,0.0,0.625,1.0,0.625,1.0,0.0,1.0,1.0,0.6103286384976526
583,0.0,0.625,0.0,0.625,1.0,0.625,1.0,1.0,1.0
513,0.0,1.0,0.6103286384976526,0.0,1.0,0.0,0.6103286384976526,1.0,0.0
22,1.0,1.0,1.0,0.625,0.6040268456375839,1.0,0.6103286384976526,1.0,0.6103286384976526
212,1.0,0.625,0.0,0.625,1.0,0.0,0.6103286384976526,1.0,1.0
681,1.0,0.625,1.0,0.625,0.6040268456375839,0.625,1.0,0.0,1.0
809,0.6103286384976526,0.625,1.0,0.625,1.0,0.0,0.6103286384976526,1.0,1.0
265,1.0,0.0,0.6103286384976526,0.625,1.0,0.0,0.0,0.0,1.0
6,1.0,1.0,1.0,1.0,0.6040268456375839,0.0,0.6103286384976526,0.625,0.0
293,1.0,0.0,0.0,0.0,1.0,0.625,0.0,0.625,1.0
893,0.0,1.0,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,1.0,0.6103286384976526
436,0.6103286384976526,0.0,1.0,0.625,1.0,0.0,1.0,1.0,0.6103286384976526
396,0.6103286384976526,0.625,1.0,0.0,1.0,0.625,1.0,1.0,0.0
866,0.6103286384976526,0.0,1.0,0.0,0.6040268456375839,0.0,1.0,1.0,0.6103286384976526
878,0.6103286384976526,0.0,0.0,0.0,0.6040268456375839,1.0,1.0,1.0,0.6103286384976526
789,0.6103286384976526,1.0,0.0,1.0,0.6040268456375839,0.625,1.0,1.0,0.6103286384976526
338,0.6103286384976526,1.0,0.6103286384976526,0.0,1.0,0.625,1.0,1.0,0.0
254,1.0,0.0,0.6103286384976526,1.0,0.0,1.0,1.0,0.625,0.6103286384976526
732,1.0,0.0,0.6103286384976526,0.0,0.6040268456375839,0.0,0.6103286384976526,1.0,1.0
308,0.6103286384976526,1.0,1.0,0.625,0.0,1.0,0.0,0.625,1.0
752,0.6103286384976526,1.0,1.0,0.625,1.0,0.0,0.6103286384976526,0.625,1.0
687,1.0,0.625,1.0,0.0,0.6040268456375839,0.625,1.0,0.625,1.0
572,0.0,0.625,0.6103286384976526,0.625,0.0,1.0,1.0,1.0,1.0
98,1.0,1.0,0.6103286384976526,0.0,1.0,0.625,0.0,0.625,1.0
636,1.0,1.0,0.6103286384976526,1.0,0.6040268456375839,0.0,0.6103286384976526,0.0,0.0
112,1.0,1.0,0.0,0.0,1.0,0.625,0.6103286384976526,0.625,1.0
332,0.6103286384976526,1.0,0.6103286384976526,0.625,1.0,0.0,1.0,1.0,0.0
413,0.6103286384976526,0.625,0.0,1.0,1.0,1.0,0.0,0.625,1.0
351,0.6103286384976526,1.0,0.0,0.625,1.0,1.0,0.0,1.0,0.6103286384976526
165,1.0,0.625,0.6103286384976526,1.0,0.0,0.625,1.0,1.0,0.0
65,1.0,1.0,1.0,0.0,0.6040268456375839,0.0,0.6103286384976526,0.625,1.0
937,0.0,0.0,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,0.0,1.0
508,0.0,1.0,0.6103286384976526,0.625,0.6040268456375839,0.0,1.0,1.0,1.0
661,1.0,1.0,0.0,1.0,0.6040268456375839,1.0,0.6103286384976526,0.625,0.6103286384976526
443,0.6103286384976526,0.0,1.0,0.625,0.0,1.0,0.0,0.0,1.0
857,0.6103286384976526,0.0,1.0,0.625,1.0,1.0,0.6103286384976526,0.0,0.0
593,0.0,0.0,1.0,0.625,1.0,0.625,1.0,0.625,1.0
877,0.6103286384976526,0.0,0.0,0.625,0.0,1.0,0.6103286384976526,1.0,1.0
29,1.0,1.0,1.0,0.625,0.6040268456375839,0.0,0.6103286384976526,1.0,0.0
261,1.0,0.0,0.6103286384976526,0.625,1.0,0.625,1.0,0.0,1.0
77,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.625,0.6103286384976526
711,1.0,0.0,1.0,0.625,0.6040268456375839,0.625,1.0,0.0,0.0
363,0.6103286384976526,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6103286384976526
855,0.6103286384976526,0.0,1.0,1.0,0.6040268456375839,0.0,0.0,1.0,0.6103286384976526
576,0.0,0.625,0.0,1.0,1.0,1.0,1.0,0.625,0.6103286384976526
665,1.0,1.0,0.0,0.625,0.6040268456375839,0.625,1.0,0.625,1.0
15,1.0,1.0,1.0,0.625,1.0,0.625,0.6103286384976526,0.0,0.0
673,1.0,0.625,1.0,1.0,0.6040268456375839,1.0,0.6103286384976526,0.625,0.0
674,1.0,0.625,1.0,1.0,0.6040268456375839,1.0,0.0,0.625,0.6103286384976526
544,0.0,0.625,1.0,0.625,0.6040268456375839,1.0,0.0,1.0,1.0
256,1.0,0.0,0.6103286384976526,1.0,0.0,0.625,1.0,0.0,0.0
797,0.6103286384976526,1.0,0.0,0.625,0.0,1.0,0.6103286384976526,1.0,0.0
19,1.0,1.0,1.0,0.625,1.0,0.0,0.6103286384976526,0.0,0.6103286384976526
514,0.0,1.0,0.6103286384976526,0.0,1.0,0.0,0.0,1.0,0.6103286384976526
718,1.0,0.0,0.6103286384976526,1.0,1.0,0.625,0.0,0.0,0.6103286384976526
580,0.0,0.625,0.0,1.0,1.0,1.0,0.0,0.625,0.0
156,1.0,0.625,0.6103286384976526,1.0,1.0,0.0,0.6103286384976526,0.0,1.0
333,0.6103286384976526,1.0,0.6103286384976526,0.625,1.0,0.0,0.0,1.0,1.0
89,1.0,1.0,0.6103286384976526,0.625,1.0,0.625,0.6103286384976526,1.0,1.0
908,0.0,1.0,0.0,1.0,1.0,0.0,0.6103286384976526,0.625,0.6103286384976526
754,0.6103286384976526,1.0,1.0,0.625,0.6040268456375839,1.0,1.0,0.0,0.6103286384976526
599,0.0,0.0,1.0,0.625,0.6040268456375839,1.0,0.0,0.0,1.0
504,0.0,1.0,0.6103286384976526,0.625,1.0,0.625,0.0,1.0,1.0
755,0.6103286384976526,1.0,1.0,0.625,0.6040268456375839,1.0,0.6103286384976526,1.0,0.0
463,0.6103286384976526,0.0,0.6103286384976526,1.0,1.0,1.0,0.0,0.625,1.0
367,0.6103286384976526,0.625,1.0,1.0,1.0,1.0,0.6103286384976526,0.625,1.0
358,0.6103286384976526,1.0,0.0,0.0,1.0,1.0,0.6103286384976526,1.0,0.6103286384976526
274,1.0,0.0,0.6103286384976526,0.0,0.6040268456375839,0.625,1.0,1.0,1.0
932,0.0,0.0,1.0,0.625,0.6040268456375839,0.625,0.0,1.0,1.0
640,1.0,1.0,0.6103286384976526,0.625,1.0,0.625,1.0,0.0,0.6103286384976526
454,0.6103286384976526,0.0,1.0,0.0,0.6040268456375839,1.0,0.0,0.0,1.0
352,0.6103286384976526,1.0,0.0,0.625,1.0,0.625,1.0,1.0,0.0
846,0.6103286384976526,0.625,0.6103286384976526,0.0,0.0,1.0,0.0,1.0,1.0
177,1.0,0.625,0.6103286384976526,0.625,0.0,0.0,1.0,1.0,1.0
672,1.0,0.625,1.0,1.0,1.0,0.0,0.6103286384976526,0.625,0.6103286384976526
349,0.6103286384976526,1.0,0.0,1.0,1.0,0.625,0.0,1.0,0.6103286384976526
394,0.6103286384976526,0.625,1.0,0.0,1.0,1.0,0.6103286384976526,0.0,1.0
336,0.6103286384976526,1.0,0.6103286384976526,0.0,1.0,1.0,0.6103286384976526,1.0,0.0
503,0.0,1.0,0.6103286384976526,0.625,1.0,0.625,1.0,1.0,0.0
196,1.0,0.625,0.0,1.0,0.6040268456375839,1.0,1.0,0.0,0.6103286384976526
420,0.6103286384976526,0.625,0.0,0.0,0.6040268456375839,1.0,1.0,1.0,1.0
895,0.0,1.0,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,0.0,0.0
790,0.6103286384976526,1.0,0.0,1.0,0.6040268456375839,0.0,1.0,0.0,0.6103286384976526
379,0.6103286384976526,0.625,1.0,1.0,0.0,1.0,0.6103286384976526,0.0,1.0
400,0.6103286384976526,0.625,1.0,0.0,1.0,0.0,1.0,0.0,0.0
305,0.6103286384976526,1.0,1.0,0.625,1.0,0.0,0.0,1.0,0.6103286384976526
445,0.6103286384976526,0.0,1.0,0.0,1.0,1.0,1.0,0.625,0.6103286384976526
104,1.0,1.0,0.0,1.0,0.0,0.625,1.0,0.625,0.6103286384976526
395,0.6103286384976526,0.625,1.0,0.0,1.0,1.0,0.0,0.625,1.0
678,1.0,0.625,1.0,1.0,0.0,1.0,0.6103286384976526,0.625,0.6103286384976526
919,0.0,0.625,1.0,0.0,0.6040268456375839,1.0,1.0,0.625,0.0
397,0.6103286384976526,0.625,1.0,0.0,1.0,0.625,1.0,0.0,1.0
27,1.0,1.0,1.0,0.625,0.6040268456375839,0.0,1.0,0.625,0.0
126,1.0,0.625,1.0,0.625,1.0,0.625,0.6103286384976526,1.0,1.0
830,0.6103286384976526,0.625,0.6103286384976526,1.0,0.0,0.0,1.0,0.0,1.0
563,0.0,0.625,0.6103286384976526,1.0,1.0,1.0,1.0,0.0,0.6103286384976526
185,1.0,0.625,0.6103286384976526,0.0,0.6040268456375839,0.0,1.0,1.0,1.0
193,1.0,0.625,0.0,1.0,1.0,0.625,0.0,0.625,1.0
876,0.6103286384976526,0.0,0.0,0.625,1.0,0.0,0.6103286384976526,1.0,1.0
134,1.0,0.625,1.0,0.625,0.0,1.0,0.6103286384976526,0.0,1.0
836,0.6103286384976526,0.625,0.6103286384976526,0.0,1.0,1.0,1.0,0.625,1.0
906,0.0,1.0,0.6103286384976526,0.0,0.6040268456375839,0.0,0.6103286384976526,1.0,1.0
103,1.0,1.0,0.0,1.0,0.6040268456375839,0.0,1.0,0.625,0.6103286384976526
37,1.0,1.0,1.0,0.625,0.0,0.625,1.0,0.625,0.0
133,1.0,0.625,1.0,0.625,0.6040268456375839,1.0,0.0,0.0,1.0
743,0.6103286384976526,1.0,1.0,1.0,0.6040268456375839,0.625,1.0,0.0,0.6103286384976526
465,0.6103286384976526,0.0,0.6103286384976526,1.0,0.6040268456375839,0.0,1.0,1.0,1.0
313,0.6103286384976526,1.0,1.0,0.0,1.0,0.0,1.0,0.625,0.6103286384976526
143,1.0,0.625,1.0,0.0,0.0,1.0,0.6103286384976526,0.625,1.0
0,1.0,1.0,1.0,1.0,0.6040268456375839,0.625,1.0,0.625,0.6103286384976526
574,0.0,0.625,0.6103286384976526,0.0,0.6040268456375839,1.0,1.0,1.0,1.0
917,0.0,0.625,1.0,1.0,0.6040268456375839,0.0,1.0,0.625,0.0
