,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41
1003,0.7497775800711745,0.2904485525938665,0.0,0.0,0.0,0.07692307692307693,0.16666666666666666,0.6474464579901152,0.16666666666666666,0.08333333333333333,0.0,0.5267588695129284,0.43468847726726,0.2502783344466712,0.7528156490812092,0.075,0.05932203389830514,0.2929577464788729,0.0,0.0,0.0,0.5269922879177377,0.006802721088435374,0.0,0.0,0.0,0.7337278106508875,0.5078268876611418,0.0,0.0,0.074533434739367,0.0,0.08333333333333333,0.0,0.14285714285714285,0.1777408637873754,0.16544286369894448,0.0,0.3513237248287846,0.0,0.0
770,0.7364323843416369,0.43745820196809015,0.08333333333333333,0.0,0.05555555555555555,0.0,0.0,0.4019769357495881,0.0,0.25,0.25,0.6222689917819202,0.5345200866009141,0.4676018704074817,0.7672791938352106,0.225,0.10169491525423738,0.3661971830985913,0.0,0.0,0.0,0.4832904884318767,0.0,0.0,0.0,0.0,0.6815492200107585,0.5059852670349908,0.0,0.0,0.2485227871058328,0.0,0.0,0.05555555555555555,0.0,0.20906502135738014,0.1523634694814134,0.375,0.4053971174486353,0.0,0.0
685,0.6654804270462633,0.20970669723894142,0.16666666666666666,0.0,0.05555555555555555,0.0,0.3333333333333333,0.7611202635914333,0.0,0.0,0.09090909090909091,0.5267588695129284,0.5657926389222997,0.16700066800267202,0.7580320094842916,0.0,0.14971751412429393,0.25915492957746505,0.0,0.0,0.0,0.5912596401028277,0.013605442176870748,0.0,1.0,0.0,0.7358795051102743,0.5059852670349908,0.0,0.0,0.11899608026677588,0.0,0.3333333333333333,0.2222222222222222,0.5714285714285714,0.2043189368770764,0.21156493804497467,0.25,0.4406623735050598,0.0,0.07407407407407407
937,0.616103202846975,0.26822394191267795,0.08333333333333333,0.0,0.0,0.0,0.1111111111111111,0.7808896210873146,0.041666666666666664,0.0,0.0,0.6335939065945079,0.44046187154197736,0.2638610554442218,0.6767042086544162,0.0,0.08192090395480234,0.23661971830985937,0.0,0.0,0.0,0.6233933161953729,0.006802721088435374,0.0,1.0,0.0,0.6648735879505111,0.5119705340699816,0.0,0.0,0.07582051132042357,0.0,0.08333333333333333,0.0,0.0,0.19150450878025627,0.17072051399724636,0.0,0.3785137483389553,0.0,0.037037037037037035
193,0.4826512455516014,0.3117416642782077,0.0,0.0,0.0,0.0,0.0,0.4942339373970346,0.0,0.08333333333333333,0.022727272727272728,0.47855281619563034,0.2415203271590089,0.21621019817412604,0.5243627741553053,0.025,0.17796610169491542,0.3718309859154927,0.0,0.0,0.0,0.39974293059125954,0.0,0.0,0.0,0.0,0.45615922538999465,0.701657458563536,0.0,0.13309539533772674,0.06423682209091441,0.0,0.0,0.05555555555555555,0.2857142857142857,0.13194114855244424,0.47407067462138586,0.125,0.2542164980067464,0.0,0.0
74,0.7368772241992881,0.3168529664660361,0.08333333333333333,0.0,0.0,0.0,0.1111111111111111,0.5815485996705106,0.0,0.3333333333333333,0.0,0.5267588695129284,0.4726966562424825,0.2582943665107994,0.7366923532898637,0.2,0.29378531073446323,0.27042253521126786,0.0,0.0,0.0,0.4575835475578407,0.006802721088435374,0.0,0.0,0.0,0.7052178590640129,0.5023020257826888,0.0,0.29277614624755854,0.08126133504943545,0.0,0.16666666666666666,0.0,0.2857142857142857,0.29283341243474137,0.4612207434603028,0.0,0.4697945415516713,0.0,0.0
756,0.5369217081850532,0.4280596159357982,0.0,0.3333333333333333,0.0,0.0,0.0,0.14991762767710048,0.0,0.16666666666666666,0.0,0.4604129083984766,0.3372624488814049,0.3070585615675796,0.5984588026081802,0.05,0.39548022598870064,0.554929577464789,0.0,0.0,0.0,0.27120822622107976,0.0,0.0,0.0,0.0,0.5379236148466918,0.5847145488029467,0.0,0.2608933916000393,0.09881237933657053,0.0,0.0,0.05555555555555555,0.5714285714285714,0.1687233032747983,0.6195502524093619,0.5,0.3293468261269549,0.0,0.0
369,0.5211298932384341,0.4256353300850292,0.0,0.3333333333333333,0.05555555555555555,0.0,0.0,0.2751235584843492,0.0,0.16666666666666666,0.0,0.3187011425135297,0.36083714216983404,0.33400133600534404,0.6087729697688203,0.0,0.3700564971751416,0.5042253521126762,0.0,0.0,0.0,0.29820051413881743,0.0,0.0,0.0,0.0,0.5379236148466918,0.46040515653775327,0.0,0.2714179324687004,0.13093079038202773,0.0,0.0,0.1111111111111111,0.5714285714285714,0.1537731371618415,0.562184488297384,0.5,0.3210671573137075,0.0,0.0
79,0.5798487544483986,0.2673043852106621,0.0,0.0,0.0,0.0,0.1111111111111111,0.7759472817133443,0.041666666666666664,0.08333333333333333,0.0,0.5267588695129284,0.3808034640365648,0.2643063905588956,0.6469472436277416,0.05,0.09887005649717523,0.2478873239436622,0.0,0.0,0.0,0.5604113110539845,0.006802721088435374,0.0,0.0,0.0,0.64228079612695,0.49447513812154703,0.0,0.1421726361937415,0.06435382905282865,0.0,0.0,0.0,0.0,0.1642145230185097,0.23267553923818257,0.0,0.32699580905652664,0.0,0.0
875,0.5369217081850532,0.27226043756568263,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.7067545304777594,0.0,0.0,0.045454545454545456,0.5267588695129284,0.31849891748857345,0.17857938098419063,0.5938352104327208,0.0,0.07062146892655374,0.2901408450704225,0.0,0.0,0.0,0.538560411311054,0.006802721088435374,0.0,0.0,0.0,0.5922538999462076,0.47053406998158387,0.0,0.0,0.031065348388229094,0.0,0.08333333333333333,0.1111111111111111,0.2857142857142857,0.1530612244897959,0.17691601652134,0.125,0.293672697536543,0.0,0.0
972,0.6937277580071173,0.21959491735931977,0.0,0.0,0.0,0.0,0.2222222222222222,0.9884678747940692,0.0,0.0,0.0,0.5267588695129284,0.46018763531392826,0.0,0.732780082987552,0.0,0.05649717514124299,0.1718309859154928,0.0,0.0,0.0,0.6786632390745502,0.047619047619047616,0.0,0.0,0.0,0.7912856374394837,0.5064456721915286,0.0,0.0,0.017960568653834903,0.0,0.0,0.0,0.0,0.2027764594209777,0.09683340982101879,0.0,0.3827046918123275,0.0,0.0
1020,0.7379893238434162,0.185953472819337,0.0,0.0,0.05555555555555555,0.0,0.2777777777777778,0.886326194398682,0.0,0.16666666666666666,0.045454545454545456,0.5015033072760072,0.5429396199182103,0.1518592741037631,0.7822169531713101,0.2,0.15254237288135578,0.2169014084507041,0.0,0.0,0.0,0.5565552699228792,0.04081632653061224,0.0,0.0,0.0,0.8111888111888113,0.5059852670349908,0.0,0.34243399328340385,0.05551980342830399,0.0,0.08333333333333333,0.1111111111111111,0.2857142857142857,0.20028476506881823,0.2528682882055988,0.125,0.41357456812838594,0.0,0.0
1009,0.8400800711743772,0.18098547816948504,0.0,0.0,0.0,0.15384615384615385,0.0,0.5485996705107083,0.125,0.16666666666666666,0.0,0.5267588695129284,0.42795285061342314,0.2507236695613449,0.8028452874925904,0.15,0.08474576271186449,0.3295774647887324,0.0,0.0,0.0,0.410025706940874,0.02040816326530612,0.0,0.0,0.0,0.8644432490586338,0.5050644567219154,0.0,0.0,0.048557889194407074,0.375,0.0,0.0,0.14285714285714285,0.16706217370669196,0.14456172556218444,0.0,0.331902279464377,0.0,0.0
97,0.4826512455516014,0.21533151810451898,0.0,0.0,0.0,0.0,0.0,0.41186161449752884,0.125,0.0,0.045454545454545456,0.5267588695129284,0.1994226605725283,0.21621019817412604,0.5243627741553053,0.0,0.036723163841807946,0.3915492957746479,0.0,0.0,0.0,0.34704370179948585,0.0,0.0,0.0,0.0,0.45615922538999465,0.6542357274401475,0.0,0.0,0.06423682209091441,0.0,0.0,0.05555555555555555,0.2857142857142857,0.08495491219743713,0.16062413951353824,0.125,0.17561075334764387,0.0,0.0
284,0.6283362989323843,0.28536113499570076,0.25,0.0,0.0,0.0,0.16666666666666666,0.7693574958813839,0.041666666666666664,0.0,0.0,0.5267588695129284,0.5046908828482078,0.2638610554442218,0.679075281564908,0.0,0.21751412429378553,0.21971830985915514,0.0,0.0,0.0,0.6375321336760925,0.006802721088435374,0.0,1.0,0.0,0.6793975255513717,0.5124309392265194,0.0,0.0,0.06037559234774469,0.0,0.16666666666666666,0.0,0.0,0.21203132415757003,0.23313446535107846,0.0,0.4260451804150058,0.0,0.1111111111111111
254,0.6076512455516014,0.26405608101652817,0.0,0.0,0.0,0.0,0.05555555555555555,0.7759472817133443,0.041666666666666664,0.08333333333333333,0.0,0.5388855482060533,0.3808034640365648,0.2643063905588956,0.6482513337285122,0.05,0.09887005649717523,0.2478873239436622,0.0,0.0,0.0,0.5437017994858612,0.006802721088435374,0.0,0.0,0.0,0.64228079612695,0.49447513812154703,0.0,0.14957775373417453,0.0710817293628971,0.0,0.0,0.0,0.0,0.16433317513051734,0.23267553923818257,0.0,0.32863129919247674,0.0,0.0
923,0.6327846975088967,0.2838325212572848,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.6589785831960461,0.041666666666666664,0.08333333333333333,0.0,0.5267588695129284,0.43108010584556167,0.2638610554442218,0.679075281564908,0.05,0.09604519774011308,0.2478873239436622,0.0,0.0,0.0,0.5694087403598972,0.006802721088435374,0.0,0.0,0.0,0.6815492200107585,0.5119705340699816,0.0,0.0,0.05551980342830399,0.0,0.16666666666666666,0.0,0.14285714285714285,0.1950640721404841,0.18724185406149604,0.0,0.3756516406010427,0.0,0.0
218,0.55182384341637,0.23498853539696185,0.0,0.0,0.0,0.0,0.0,0.5485996705107083,0.0,0.16666666666666666,0.0,0.5202445379835637,0.24585037286504685,0.20685816076597643,0.578423236514523,0.025,0.25423728813559315,0.3295774647887324,0.0,0.0,0.0,0.3393316195372751,0.006802721088435374,0.0,0.0,0.0,0.611081226465842,0.3959484346224678,0.0,0.1359759439065859,0.030421810097700813,0.0,0.0,0.0,0.0,0.14084005695301377,0.3593391463974299,0.0,0.26270060308698767,0.0,0.0
661,0.6906138790035588,0.16403936180376424,0.0,0.0,0.0,0.0,0.0,0.586490939044481,0.0,0.5833333333333334,0.0,0.1503307276007216,0.5965840750541256,0.22467156535292807,0.7960877296976882,0.45,0.18361581920903972,0.31549295774647856,0.0,0.0,0.0,0.37275064267352187,0.013605442176870748,0.0,0.0,0.0,0.7428725121032812,0.5059852670349908,0.0,0.6580718591482007,0.22646697478499975,0.5,0.0,0.0,0.2857142857142857,0.1633839582344566,0.3368517668655346,0.0,0.4072370438515793,0.0,0.0
904,0.6832740213523131,0.2054194133944779,0.0,0.0,0.0,0.0,0.1111111111111111,0.5996705107084019,0.08333333333333333,0.3333333333333333,0.0,0.43776307877330123,0.6278566273755112,0.672456023157426,0.7656194427978661,0.3,0.08192090395480234,0.3098591549295771,0.0,0.0,0.0,0.44858611825192796,0.006802721088435374,0.0,0.0,0.0,0.7267348036578806,0.5059852670349908,0.0,0.3471271797321792,0.38167670976423096,0.0,0.0,0.0,0.0,0.18118177503559563,0.16062413951353824,0.0,0.40754369825206993,0.5,0.0
299,0.8892348754448398,0.1283796694372791,0.5,0.0,0.0,0.23076923076923078,0.0,0.7314662273476111,0.0,0.08333333333333333,0.0,0.5911004209260372,0.6649025739716141,0.16677800044533514,0.8847658565500891,0.075,0.2740112994350285,0.22816901408450693,0.0,0.0,0.0,0.6028277634961441,0.10204081632653061,0.0,1.0,0.0,1.0,0.5059852670349908,0.0,0.0,0.03937284268413971,0.75,0.0,0.0,0.0,0.2536782154722354,0.2037631941257457,0.0,0.5035265256056425,0.0,0.2222222222222222
646,0.6327846975088967,0.29723177605808737,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.627677100494234,0.041666666666666664,0.08333333333333333,0.045454545454545456,0.5267588695129284,0.397883088765937,0.2638610554442218,0.679075281564908,0.05,0.10169491525423738,0.31267605633802814,0.0,0.0,0.0,0.48586118251928034,0.006802721088435374,0.0,0.0,0.0,0.6815492200107585,0.5124309392265194,0.0,0.0,0.05551980342830399,0.0,0.16666666666666666,0.1111111111111111,0.2857142857142857,0.1721642145230185,0.17966957319871496,0.125,0.3330266789328428,0.0,0.0
737,0.4988879003558719,0.07220311455049204,0.0,0.0,0.0,0.0,0.0,0.515650741350906,0.0,0.3333333333333333,0.0,0.5267588695129284,0.46427712292518647,0.0,0.6669828097213991,0.1,0.14406779661016964,0.3408450704225352,0.0,0.0,0.0,0.3033419023136247,0.013605442176870748,0.0,0.0,0.0,0.6670252824098979,0.5055248618784531,0.0,0.0,0.29433101269525536,0.0,0.0,0.0,0.0,0.12814428096820124,0.13331803579623677,0.0,0.33987529387713394,0.0,0.0
639,0.616103202846975,0.25296168911818095,0.0,0.0,0.027777777777777776,0.0,0.1111111111111111,0.6441515650741351,0.08333333333333333,0.0,0.045454545454545456,0.5267588695129284,0.3923502525859995,0.2638610554442218,0.6767042086544162,0.0,0.04802259887005654,0.3042253521126757,0.0,0.0,0.0,0.5231362467866324,0.006802721088435374,0.0,0.0,0.0,0.6648735879505111,0.5119705340699816,0.0,0.0,0.07582051132042357,0.0,0.08333333333333333,0.1111111111111111,0.2857142857142857,0.1642145230185097,0.13767783386874713,0.125,0.324951446386589,0.0,0.0
988,0.757562277580071,0.1577935416069552,0.08333333333333333,0.0,0.19444444444444445,0.0,0.2777777777777778,0.7232289950576606,0.0,0.3333333333333333,0.22727272727272727,0.5267588695129284,0.6579263892229973,0.17301269205076822,0.8222880853586247,0.25,0.189265536723164,0.26478873239436646,0.0,0.3333333333333333,0.0,0.5359897172236504,0.02040816326530612,0.0,0.0,0.3333333333333333,0.7681549220010758,0.5059852670349908,0.0,0.6714207427599871,0.203592113730767,0.0,0.4166666666666667,0.5,0.2857142857142857,0.2899857617465591,0.2833868747131711,0.375,0.5109884493509149,0.0,0.0
267,0.6490213523131673,0.189810834049871,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.357495881383855,0.0,0.16666666666666666,0.22727272727272727,0.5267588695129284,0.46620158768342557,0.248496993987976,0.7222288085358626,0.1,0.24858757062146886,0.45633802816901387,0.0,0.0,0.0,0.3508997429305911,0.02040816326530612,0.0,0.0,0.0,0.7401828940290478,0.5064456721915286,0.0,0.2885045034917869,0.07061370151524016,0.0,0.0,0.2222222222222222,0.0,0.15045087802562887,0.29004130335016054,0.75,0.3472349994889094,0.0,0.0
67,0.6501334519572953,0.2916069551925098,0.0,0.0,0.0,0.0,0.1111111111111111,0.7314662273476111,0.041666666666666664,0.16666666666666666,0.0,0.44026859089997994,0.40774597065191237,0.2638610554442218,0.6801422643746295,0.1,0.15254237288135578,0.26478873239436646,0.0,0.0,0.0,0.4948586118251928,0.006802721088435374,0.0,0.0,0.0,0.6815492200107585,0.5124309392265194,0.0,0.14644427894951312,0.06546539519101387,0.0,0.0,0.0,0.14285714285714285,0.17358803986710963,0.3058742542450664,0.0,0.3437595829500153,0.0,0.0
502,0.3598754448398576,0.2867225566064775,0.08333333333333333,0.0,0.0,0.0,0.0,0.7314662273476111,0.0,0.0,0.0,0.5267588695129284,0.3059898965600192,0.0,0.5024303497332544,0.0,0.07344632768361589,0.1718309859154928,0.0,0.0,0.0,0.787917737789203,0.006802721088435374,0.0,0.0,0.0,0.5379236148466918,0.40745856353591164,0.0,0.0,0.007897969929210786,0.0,0.0,0.0,0.0,0.2096582819174181,0.11473152822395592,0.0,0.3575590309720944,0.0,0.0
1031,0.6961743772241992,0.33246154581064297,0.0,0.0,0.0,0.07692307692307693,0.0,0.528830313014827,0.16666666666666666,0.08333333333333333,0.0,0.5267588695129284,0.3731056050036084,0.3921175684702739,0.7032602252519266,0.025,0.04802259887005654,0.3352112676056338,0.0,0.0,0.0,0.48071979434447315,0.0,0.0,0.0,0.0,0.6320602474448628,0.49585635359116026,0.0,0.14193376143437267,0.13368045398701223,0.0,0.0,0.0,0.0,0.12363550071191269,0.18150527765029825,0.0,0.28968619033016463,0.0,0.0
186,0.525355871886121,0.26566829081876375,0.0,0.0,0.0,0.0,0.0,0.44975288303130145,0.125,0.16666666666666666,0.0,0.5267588695129284,0.3182583593937936,0.4244043642841238,0.5791345583876704,0.05,0.10169491525423738,0.36338028169014086,0.0,0.0,0.0,0.3341902313624679,0.0,0.0,0.0,0.0,0.5379236148466918,0.4719152854511971,0.0,0.0,0.12168724039080325,0.0,0.0,0.0,0.2857142857142857,0.09598955861414334,0.27535566773749415,0.0,0.22815087396504144,0.0,0.0
40,0.7544483985765125,0.4519203210088851,0.0,0.0,0.0,0.07692307692307693,0.0,0.5074135090609555,0.25,0.25,0.0,0.5058127881338945,0.4746211210007216,0.4246270318414607,0.7657379964433906,0.325,0.09039548022598878,0.3436619718309856,0.0,0.0,0.0,0.3933161953727507,0.0,0.0,0.0,0.0,0.706831629908553,0.5064456721915286,0.0,0.1584723256565543,0.18451997893874686,0.0,0.0,0.0,0.14285714285714285,0.14665401044138587,0.22808627810922433,0.0,0.3426351834815497,0.0,0.0
999,0.6450177935943061,0.27271424476927486,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.6738056013179571,0.041666666666666664,0.08333333333333333,0.045454545454545456,0.5319703347364201,0.42338224681260517,0.32398129592518377,0.685358624777712,0.05,0.10169491525423738,0.2957746478873239,0.0,0.0,0.0,0.5077120822622108,0.006802721088435374,0.0,0.0,0.0,0.6729424421732113,0.5023020257826888,0.0,0.15273933143170287,0.09980693851284152,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16468913146654007,0.2127122533272143,0.125,0.3443728917509966,0.0,0.0
962,0.656806049822064,0.21600028661507595,0.25,0.0,0.0,0.0,0.3333333333333333,0.8237232289950577,0.0,0.16666666666666666,0.0,0.5267588695129284,0.5997113302862641,0.1629926519706079,0.7592175459395376,0.15,0.24293785310734456,0.2112676056338027,0.0,0.0,0.0,0.5899742930591261,0.013605442176870748,0.0,1.0,0.0,0.7240451855836472,0.5059852670349908,0.0,0.0,0.15310360966477504,0.0,0.5,0.0,0.14285714285714285,0.20823445657332704,0.25493345571363,0.0,0.46049269140345506,0.0,0.1111111111111111
439,0.6830516014234874,0.35939142065539315,0.16666666666666666,0.0,0.027777777777777776,0.0,0.2222222222222222,0.6589785831960461,0.0,0.25,0.045454545454545456,0.5267588695129284,0.5222516237671397,0.2502783344466712,0.7235328986366331,0.15,0.4039548022598874,0.2845070422535211,0.0,0.3333333333333333,0.0,0.511568123393316,0.006802721088435374,0.0,1.0,0.0,0.7278106508875741,0.5082872928176796,0.0,0.28818131999381735,0.06254022114315802,0.0,0.3333333333333333,0.1111111111111111,0.14285714285714285,0.214641670621737,0.445158329508949,0.125,0.4352448124297251,0.0,0.07407407407407407
980,0.7413256227758007,0.15467660265596636,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6836902800658978,0.25,0.3333333333333333,0.0,0.5267588695129284,0.687033918691364,0.2128701848140726,0.8463544754001187,0.375,0.09039548022598878,0.2676056338028168,0.0,0.0,0.0,0.5411311053984577,0.02040816326530612,0.0,0.0,0.0,0.7498655190962884,0.5059852670349908,0.0,0.19265951915916085,0.16995261218042476,0.0,0.25,0.0,0.0,0.25794969150450875,0.15328132170720504,0.0,0.49310027598896045,0.0,0.0
368,0.5611654804270462,0.3142734307824592,0.0,0.0,0.0,0.0,0.0,0.471169686985173,0.16666666666666666,0.0,0.045454545454545456,0.5267588695129284,0.33557854221794564,0.409040302827878,0.6259632483698875,0.0,0.025423728813559344,0.36338028169014086,0.0,0.0,0.0,0.3984575835475579,0.0,0.0,0.0,0.0,0.5777299623453469,0.5234806629834254,0.0,0.0,0.12437840051483062,0.0,0.0,0.2222222222222222,0.14285714285714285,0.1079734219269103,0.07549334557136299,0.125,0.24522130225902078,0.0,0.0
84,0.6501334519572953,0.22991306009362758,0.0,0.0,0.0,0.0,0.1111111111111111,0.8237232289950577,0.0,0.16666666666666666,0.0,0.506814992984566,0.41424103921096944,0.14785125807169897,0.6950800237107293,0.125,0.17514124293785296,0.23098591549295797,0.0,0.0,0.0,0.5179948586118253,0.02040816326530612,0.0,0.0,0.0,0.7401828940290478,0.5023020257826888,0.0,0.1523599421079995,0.03586263382671269,0.0,0.0,0.0,0.0,0.1798766018035121,0.23703533731069293,0.0,0.3488704896248595,0.25,0.0
109,0.31450177935943063,0.1649111493264546,0.0,0.0,0.0,0.0,0.0,0.29983525535420097,0.08333333333333333,0.08333333333333333,0.0,0.5267588695129284,0.16045224921818615,0.22266755733689603,0.3834024896265561,0.0,0.14124293785310715,0.43943661971830966,0.0,0.0,0.0,0.17480719794344474,0.0,0.0,0.0,0.0,0.33243679397525555,0.22836095764272563,0.0,0.0,0.07388989644883871,0.0,0.0,0.05555555555555555,0.42857142857142855,0.062055054579971534,0.40913262964662683,0.125,0.13635899008484112,0.0,0.0
324,0.31450177935943063,0.317103754657495,0.08333333333333333,0.0,0.0,0.0,0.0,0.471169686985173,0.0,0.0,0.0,0.5267588695129284,0.26220832331007937,0.22266755733689603,0.3834024896265561,0.0,0.14689265536723145,0.2732394366197183,0.0,0.0,0.0,0.6696658097686374,0.0,0.0,0.0,0.0,0.33243679397525555,0.21040515653775324,0.0,0.0,0.07388989644883871,0.0,0.0,0.0,0.0,0.1871143806359753,0.30403854979348316,0.125,0.3282224266584893,0.0,0.0
815,0.769350533807829,0.2784584885831662,0.08333333333333333,0.0,0.05555555555555555,0.0,0.2222222222222222,0.6869851729818781,0.0,0.25,0.045454545454545456,0.5267588695129284,0.5388501323069521,0.229124916499666,0.7812685240071132,0.15,0.20338983050847445,0.256338028169014,0.0,0.0,0.0,0.5359897172236504,0.02040816326530612,0.0,0.0,0.0,0.7864443249058635,0.5059852670349908,0.0,0.3131507580760746,0.06663546481015621,0.0,0.16666666666666666,0.1111111111111111,0.42857142857142855,0.29437588989084007,0.3301973382285452,0.125,0.4862516610446693,0.0,0.0
