,defects
1096,0
339,0
952,0
44,1
577,0
273,0
648,0
842,0
219,0
442,0
961,0
670,0
379,0
656,0
694,0
18,1
504,0
161,0
451,0
853,0
699,0
20,1
312,0
144,0
777,0
48,1
559,0
1023,0
418,0
480,0
428,0
337,0
357,0
447,0
1,1
832,0
1101,0
628,0
423,0
268,0
695,0
165,0
1003,0
26,1
272,0
51,1
470,0
826,0
846,0
1007,0
1046,0
931,0
764,0
209,0
945,0
103,0
196,0
938,0
456,0
784,0
1020,0
231,0
478,0
712,0
463,0
918,0
118,0
856,0
601,0
408,0
185,0
676,0
688,0
298,0
172,0
229,0
868,0
204,0
261,0
692,0
1044,0
446,0
710,0
164,0
388,0
926,0
349,0
232,0
1105,0
779,0
814,0
680,0
788,0
199,0
657,0
1084,0
1099,0
500,0
516,0
156,0
126,0
235,0
923,0
252,0
690,0
823,0
290,0
7,1
684,0
633,0
696,0
510,0
336,0
679,0
35,1
127,0
757,0
27,1
963,0
359,0
1069,0
13,1
978,0
202,0
375,0
589,0
139,0
899,0
276,0
1053,0
39,1
491,0
166,0
355,0
475,0
951,0
909,0
971,0
556,0
864,0
974,0
860,0
561,0
240,0
645,0
663,0
387,0
57,1
1068,0
673,0
580,0
177,0
47,1
224,0
785,0
1083,0
454,0
180,0
803,0
1062,0
569,0
774,0
203,0
625,0
391,0
619,0
876,0
749,0
351,0
671,0
25,1
960,0
266,0
86,0
314,0
615,0
539,0
152,0
2,1
397,0
498,0
131,0
840,0
461,0
79,0
330,0
365,0
847,0
570,0
427,0
15,1
751,0
762,0
1093,0
413,0
1054,0
87,0
1102,0
550,0
885,0
60,1
795,0
1063,0
200,0
123,0
93,0
954,0
445,0
198,0
964,0
36,1
841,0
881,0
484,0
756,0
575,0
482,0
661,0
798,0
1030,0
1006,0
894,0
363,0
714,0
146,0
682,0
316,0
962,0
995,0
816,0
620,0
665,0
384,0
827,0
101,0
346,0
530,0
552,0
1071,0
448,0
1043,0
472,0
135,0
328,0
42,1
85,0
793,0
320,0
11,1
855,0
769,0
40,1
1057,0
859,0
181,0
168,0
175,0
1011,0
849,0
487,0
706,0
581,0
652,0
90,0
794,0
97,0
721,0
100,0
871,0
815,0
857,0
492,0
1029,0
373,0
1018,0
444,0
390,0
592,0
1012,0
383,0
904,0
996,0
622,0
1050,0
817,0
368,0
820,0
543,0
250,0
63,1
269,0
1080,0
735,0
315,0
364,0
296,0
211,0
554,0
1016,0
426,0
223,0
354,0
467,0
1079,0
163,0
548,0
512,0
1038,0
82,0
371,0
226,0
687,0
210,0
635,0
835,0
771,0
750,0
742,0
167,0
393,0
405,0
173,0
833,0
61,1
667,0
532,0
249,0
394,0
324,0
309,0
544,0
646,0
608,0
993,0
258,0
807,0
970,0
338,0
369,0
586,0
150,0
318,0
930,0
142,0
160,0
247,0
1039,0
58,1
282,0
188,0
700,0
677,0
997,0
982,0
638,0
