,c
3991,1
2036,1
3144,1
3362,1
1416,1
3926,1
3911,1
2363,1
4758,1
364,1
927,1
857,1
2715,1
1418,1
2622,1
2403,1
5053,1
911,1
153,1
1061,1
5123,1
1785,1
2585,1
1528,1
5194,1
753,1
332,1
656,1
3840,1
4550,1
2518,1
3527,1
1286,1
4880,1
5334,1
3047,1
5278,1
1533,1
4107,1
2636,1
2117,1
3949,1
4390,1
2749,1
2328,1
2202,1
2383,1
4240,1
308,1
84,1
1534,1
1742,1
2335,1
260,1
5081,1
2723,1
2368,1
4205,1
380,1
4425,1
1239,1
527,1
4274,1
3121,1
2444,1
1023,1
2867,1
338,1
1220,1
2027,1
3818,1
1053,1
1559,1
3897,1
4196,1
966,1
2552,1
1107,1
668,1
929,1
1982,1
525,1
5560,1
5288,1
4919,1
1266,1
4599,1
3480,1
4598,1
2172,1
633,1
3358,1
3573,1
4340,1
5504,1
2565,1
432,1
4737,1
4194,1
2779,1
3977,1
3341,1
3885,1
5189,1
4797,1
3477,1
591,1
2580,1
1757,1
4052,1
1193,1
3719,1
3467,1
2509,1
2513,1
1030,1
5382,1
3590,1
5255,1
2205,1
4131,1
2278,1
3600,1
4396,1
3909,1
2046,1
783,1
3376,1
4159,1
3264,1
3347,1
1315,1
1397,1
3665,1
3955,1
417,1
1944,1
2239,1
1013,1
1077,1
4999,1
4162,1
2211,1
2262,1
1339,1
2473,1
947,1
3710,1
511,1
5469,1
3465,1
3538,1
2605,1
4094,1
2377,1
3157,1
5250,1
1215,1
1802,1
4652,1
4755,1
254,1
5242,1
1196,1
440,1
1799,1
4369,1
3417,1
4427,1
10,1
598,1
2417,1
2770,1
1437,1
3835,1
2486,1
864,1
3692,1
3349,1
299,1
4744,1
5241,1
4676,1
3277,1
1573,1
5449,1
2852,1
3712,1
2407,1
3361,1
3674,1
3170,1
1099,1
4653,1
2450,1
4151,1
4620,1
1925,1
4682,1
3344,1
1604,1
4057,1
2832,1
3841,1
4697,1
1069,1
563,1
4348,1
5396,1
3405,1
3000,1
4862,1
5142,1
4926,1
1450,1
675,1
3572,1
439,1
2884,1
4572,1
3656,1
5362,1
5351,1
700,1
2247,1
4754,1
2611,1
2121,1
4789,1
5326,1
3424,1
5199,1
3070,1
555,1
4426,1
4979,1
410,1
2135,1
3245,1
4048,1
1135,1
5235,1
2490,1
2931,1
4394,1
4816,1
3864,1
221,1
4343,1
1456,1
5097,1
792,1
2099,1
1439,1
1896,1
4172,1
4281,1
491,1
5384,1
2812,1
4545,1
2399,1
676,1
2782,1
3004,1
2734,1
2025,1
1331,1
4886,1
2724,1
1518,1
578,1
1140,1
3640,1
1780,1
1616,1
3804,1
3265,1
4974,1
2227,1
4113,1
2596,1
4276,1
4868,1
719,1
3498,1
2905,1
5542,1
1762,1
565,1
683,1
4059,1
4597,1
1325,1
5343,1
3720,1
2160,1
629,1
1605,1
4967,1
1049,1
3142,1
1253,1
3963,1
1192,1
2849,1
894,1
4542,1
1522,1
2997,1
3226,1
5218,1
3322,1
1243,1
4079,1
3368,1
2004,1
2843,1
2285,1
663,1
464,1
3197,1
284,1
1495,1
5169,1
1915,1
4491,1
1020,1
684,1
5239,1
2774,1
2761,1
2428,1
2646,1
534,1
4906,1
2007,1
266,1
42,1
5048,1
374,1
304,1
942,1
2520,1
659,1
1904,1
5300,1
1288,1
2893,1
1945,1
3621,1
3775,1
3025,1
2816,1
1019,1
2935,1
4364,1
2157,1
3370,1
5099,1
1164,1
3329,1
5587,1
4484,1
666,1
488,1
2710,1
5259,1
3198,1
4472,1
20,1
2120,1
3420,1
5451,1
5216,1
396,1
2587,1
3714,1
5132,1
343,1
403,1
4273,1
3105,1
2771,1
2926,1
5563,1
3455,1
238,1
5308,1
1886,1
1648,1
465,1
4645,1
437,1
1839,1
5583,1
3851,1
2110,1
5002,1
2334,1
2607,1
1746,1
1927,1
2615,1
4418,1
4262,1
1103,1
1844,1
4010,1
759,1
2301,1
4930,1
902,1
688,1
3900,1
1918,1
4280,1
2349,1
704,1
4169,1
1958,1
631,1
3260,1
1362,1
4948,1
4466,1
1491,1
4022,1
1810,1
3786,1
5413,1
3637,1
2451,1
273,1
733,1
1792,1
3250,1
231,1
1979,1
572,1
3698,1
809,1
4567,1
227,1
4156,1
4149,1
2097,1
1360,1
4612,1
2437,1
1876,1
4706,1
2398,1
3742,1
1162,1
1965,1
2204,1
2756,1
4508,1
4353,1
3150,1
2712,1
245,1
5173,1
866,1
881,1
518,1
4953,1
2927,1
5010,1
5069,1
4014,1
1866,1
5305,1
3308,1
3735,1
2912,1
2485,1
3998,1
2854,1
5146,1
5490,1
3437,1
3686,1
2091,1
3316,1
853,1
2016,1
5045,1
1986,1
4292,1
1517,1
1227,1
3785,1
3233,1
2717,1
1576,1
3143,1
1358,1
4733,1
938,1
2076,1
320,1
4722,1
1647,1
3611,1
4141,1
2062,1
395,1
1447,1
3553,1
2510,1
3766,1
3158,1
4624,1
5193,1
5492,1
123,1
3554,1
3382,1
1035,1
2500,1
871,1
1389,1
4698,1
1017,1
2203,1
5291,1
3696,1
626,1
624,1
4724,1
4438,1
1536,1
1674,1
5577,1
1269,1
3048,1
3179,1
3100,1
3764,1
5237,1
4030,1
1200,1
876,1
3315,1
916,1
1970,1
1412,1
4740,1
3107,1
2644,1
3861,1
4534,1
1787,1
3800,1
226,1
1819,1
4344,1
4579,1
1211,1
1734,1
4519,1
44,1
3020,1
3797,1
4252,1
3964,1
4332,1
367,1
667,1
3470,1
798,1
909,1
5088,1
264,1
5342,1
3066,1
4320,1
2499,1
1815,1
3690,1
333,1
1317,1
5400,1
816,1
3302,1
4601,1
1931,1
2435,1
4928,1
2968,1
49,1
62,1
4500,1
2293,1
4173,1
3524,1
3402,1
4941,1
5557,1
438,1
2280,1
4362,1
1556,1
5523,1
2920,1
3078,1
831,1
4848,1
447,1
5408,1
841,1
1299,1
2539,1
1430,1
3384,1
279,1
2548,1
4442,1
3968,1
4628,1
175,1
237,1
2878,1
2697,1
4955,1
1089,1
4703,1
160,1
1821,1
3337,1
1950,1
1185,1
956,1
3850,1
1748,1
893,1
2932,1
632,1
1265,1
377,1
5101,1
1645,1
4814,1
2719,1
2718,1
943,1
4895,1
239,1
196,1
462,1
1073,1
2699,1
1039,1
3015,1
3415,1
4908,1
992,1
2210,1
756,1
3300,1
2862,1
917,1
1537,1
1131,1
1047,1
1823,1
5423,1
4998,1
1155,1
873,1
4254,1
5162,1
4969,1
4644,1
2897,1
2766,1
3993,1
255,1
3757,1
571,1
1811,1
5331,1
4838,1
3585,1
3571,1
5115,1
2805,1
731,1
5315,1
3299,1
1697,1
2784,1
3476,1
1201,1
1513,1
1387,1
1592,1
1440,1
2015,1
4085,1
5472,1
3504,1
295,1
3669,1
2822,1
1563,1
625,1
1704,1
181,1
4260,1
1926,1
613,1
505,1
3261,1
5213,1
5585,1
1144,1
1989,1
4861,1
382,1
1197,1
2067,1
4020,1
2187,1
344,1
673,1
689,1
3635,1
2424,1
2706,1
4219,1
4017,1
4207,1
1226,1
1507,1
3432,1
5066,1
1988,1
687,1
1922,1
1247,1
2545,1
2537,1
3324,1
4050,1
854,1
1424,1
4095,1
3472,1
3678,1
2106,1
1923,1
1683,1
4387,1
2576,1
3175,1
5092,1
2258,1
1408,1
4042,1
335,1
2524,1
3400,1
5378,1
3996,1
1420,1
477,1
1471,1
2703,1
314,1
4283,1
649,1
366,1
2923,1
1178,1
3319,1
1455,1
1172,1
5516,1
3688,1
4657,1
800,1
3891,1
5503,1
1340,1
3140,1
159,1
2564,1
1010,1
3203,1
1722,1
1018,1
4417,1
3953,1
1146,1
4530,1
661,1
4863,1
4826,1
4272,1
2790,1
3222,1
1238,1
4077,1
2535,1
1598,1
4689,1
836,1
2169,1
25,1
5151,1
315,1
5514,1
4002,1
2767,1
281,1
3321,1
3090,1
930,1
1332,1
2534,1
3429,1
515,1
3729,1
209,1
2288,1
1106,1
1058,1
2882,1
3049,1
3894,1
1465,1
3183,1
4460,1
1530,1
526,1
2721,1
2989,1
379,1
2163,1
705,1
2955,1
5056,1
991,1
3727,1
2632,1
5572,1
2348,1
458,1
5454,1
622,1
4288,1
1781,1
5584,1
4008,1
5498,1
5164,1
5491,1
2678,1
5478,1
2702,1
3533,1
3923,1
2569,1
2673,1
5304,1
3119,1
4807,1
0,1
4588,1
2512,1
3089,1
3118,1
2287,1
5273,1
2116,1
1968,1
267,1
1567,1
1016,1
2614,1
2691,1
2963,1
2973,1
4224,1
5000,1
2231,1
1932,1
1427,1
4951,1
392,1
283,1
3057,1
1644,1
2976,1
4605,1
5047,1
3287,1
614,1
2729,1
5283,1
423,1
3515,1
271,1
1051,1
5178,1
2645,1
1287,1
2415,1
2714,1
5434,1
5296,1
1008,1
3602,1
4963,1
2362,1
2234,1
3671,1
2527,1
1840,1
3230,1
5329,1
3724,1
322,1
4556,1
389,1
1490,1
540,1
3083,1
4960,1
4271,1
1836,1
535,1
2975,1
3673,1
2402,1
839,1
1311,1
2554,1
3340,1
2235,1
2561,1
729,1
2057,1
4404,1
118,1
2230,1
4582,1
1675,1
1751,1
1861,1
3031,1
2633,1
3434,1
504,1
2299,1
2880,1
2939,1
5515,1
1395,1
4346,1
2747,1
811,1
3902,1
550,1
2404,1
2263,1
253,1
738,1
1614,1
1190,1
4023,1
455,1
1254,1
2600,1
3255,1
3443,1
2372,1
3709,1
3830,1
1488,1
1429,1
2744,1
4496,1
4096,1
4012,1
5388,1
2111,1
3615,1
1707,1
4515,1
4568,1
38,1
2693,1
3017,1
5147,1
3532,1
3748,1
3607,1
2030,1
3452,1
479,1
5457,1
2788,1
5131,1
4263,1
5111,1
484,1
3808,1
3059,1
5528,1
5017,1
3307,1
743,1
3217,1
2454,1
4730,1
3001,1
3366,1
4523,1
1551,1
5445,1
1521,1
2547,1
1224,1
4929,1
1526,1
514,1
1752,1
4117,1
5527,1
261,1
945,1
3485,1
4247,1
3271,0
2467,1
2872,1
4857,1
1817,1
5125,1
1973,1
40,1
3160,1
3676,1
2026,1
5246,1
4734,1
1489,1
2152,1
2936,1
2151,1
3410,1
134,1
1188,1
1853,1
5403,1
3589,1
1542,1
4778,1
4021,1
1990,1
68,1
1711,1
4587,1
1903,1
1208,1
4005,1
3716,1
4543,1
1175,1
475,1
2798,1
5177,1
1713,1
5393,1
4552,1
1154,1
4203,1
1156,1
1731,1
2558,1
619,1
2608,1
4291,1
1805,1
642,1
4615,1
5139,1
3987,1
5539,1
4448,1
1569,1
5463,1
5323,1
508,1
2919,1
4835,1
3199,1
3489,1
2835,1
1160,1
2716,1
4090,1
1349,1
2911,1
2887,1
4779,1
3905,1
1570,1
1505,1
2177,1
4130,1
2626,1
5207,1
3860,1
2220,1
2104,1
5187,1
4457,1
399,1
1392,1
4875,1
301,1
105,1
848,1
2336,1
1728,1
5450,1
1338,1
4222,1
2479,1
1593,1
1125,1
5512,1
3372,1
3425,1
2704,1
5038,1
3205,1
3744,1
4298,1
2137,1
5093,1
1459,1
4310,1
2232,0
95,1
3581,1
4985,1
195,1
5470,1
2411,1
4704,1
2445,1
138,1
4217,1
78,1
3202,1
2619,1
1322,1
1165,1
2329,1
4977,1
4244,1
2573,1
2150,1
4027,1
1838,1
2038,1
3081,1
5436,1
4627,1
4811,1
2146,1
5365,1
3986,1
296,1
1482,1
3303,1
4537,1
4658,1
2418,1
292,1
1285,1
5039,1
3826,1
5497,1
2201,1
1642,1
2647,1
3331,1
997,1
63,1
1997,1
1180,1
890,1
1006,1
1677,1
3681,1
5014,1
3147,1
1082,1
1400,1
1786,1
1147,1
1357,1
482,1
3565,1
5558,1
4539,1
5530,1
3838,1
3948,1
3559,1
4278,1
4506,1
4049,1
2337,1
785,1
1709,1
4640,1
2591,1
4275,1
1745,1
402,1
187,1
4610,1
3012,1
3075,1
5223,1
1659,1
2463,1
2360,1
3457,1
5310,1
2686,1
3446,1
988,1
754,1
3182,1
4428,1
4775,1
4735,1
357,1
2443,1
2382,1
342,1
2994,1
2562,1
5192,1
1457,1
4593,1
1294,1
4258,1
4980,1
3827,1
928,1
1804,1
716,1
2047,1
290,1
3650,1
2809,1
4462,1
3580,1
4238,1
3098,1
4081,1
4877,1
326,0
3148,1
4669,1
217,1
1055,1
1177,1
2760,1
3123,1
4352,1
3856,1
2316,1
4690,1
1735,1
2909,1
1698,1
843,1
3212,1
61,1
827,1
444,1
2925,1
5531,1
713,1
5094,1
4458,1
3391,1
1461,1
293,1
4446,1
1909,1
691,1
1341,1
2195,1
4072,1
2315,1
434,1
2141,1
5443,1
2325,1
2740,1
2071,1
2048,1
480,1
1621,1
2553,1
5280,1
5110,1
24,1
5494,1
4872,1
1428,1
2228,1
1939,1
4646,1
1936,1
3326,1
4602,1
5569,1
3881,1
5107,1
2084,1
846,1
4470,1
2640,1
3350,1
2851,1
3003,1
2277,1
3436,1
1005,1
3623,1
793,1
3484,1
3126,1
4655,1
2701,1
2213,1
223,1
1984,1
1574,1
2241,1
3309,0
107,1
372,1
4836,1
173,1
4321,1
1388,1
3041,1
5269,1
185,1
4769,1
1118,1
4923,1
337,1
3633,1
3153,1
3810,1
3387,1
2086,1
1394,1
5561,1
3295,1
4513,1
330,1
1152,1
1729,1
5287,1
2175,1
3173,1
4235,1
1033,1
4781,1
3406,1
2045,1
3045,1
2396,1
351,1
1676,1
3479,1
2674,1
64,1
2298,1
4270,1
117,1
1981,1
1174,1
7,1
3065,1
3127,1
747,1
469,1
378,1
4870,1
4176,1
3181,1
4589,1
2796,1
2736,1
3280,1
2189,1
5487,1
547,1
5374,1
4146,1
3038,1
306,1
2711,1
3257,1
3984,1
2934,1
4529,1
604,1
5488,1
4630,1
4663,1
2797,1
4944,1
2054,1
965,1
3739,1
5238,1
5456,1
1529,1
3989,1
2391,1
2616,1
400,1
2238,1
496,1
821,1
3606,1
5217,1
3972,1
780,1
5554,1
2378,1
2410,1
4388,1
994,1
2883,1
1955,1
849,1
3921,1
2265,1
1122,1
696,1
2140,1
2979,1
230,1
4097,1
3706,1
4444,1
1928,1
1744,1
2050,1
2179,1
404,1
1954,1
5428,1
361,1
2059,1
2248,1
103,1
539,1
1372,1
4265,1
4178,1
3228,1
1466,1
2531,1
3731,1
4905,1
2895,1
2487,1
3821,1
1583,1
4482,1
5018,1
519,1
141,1
4575,1
5394,1
4035,1
53,1
5327,1
553,1
791,1
256,1
2947,1
914,1
3213,1
5438,1
587,1
249,1
3541,1
5214,1
3548,1
2472,1
4218,1
3456,1
4163,1
5185,1
4574,1
934,1
1448,1
5104,1
3872,1
3132,1
2690,1
313,1
2055,1
2668,1
4311,1
289,1
1248,1
492,1
1212,1
2465,1
5113,1
658,1
411,1
3563,1
1195,1
4847,1
596,1
3259,1
4712,1
4727,1
770,1
2592,1
695,1
681,1
4942,1
3221,1
3834,1
5340,1
122,1
718,1
4056,1
3248,1
1452,1
806,1
4851,1
5565,1
892,1
4480,1
3631,1
373,1
5485,1
3276,1
3445,1
3413,1
3505,1
913,1
4338,1
1500,1
3216,1
4764,1
144,1
329,0
1519,1
3214,1
1179,1
4918,1
1520,1
2070,0
4958,1
1111,1
3734,1
2669,1
179,1
1310,1
899,1
1497,1
628,1
2604,1
603,1
983,1
566,1
5444,1
3618,1
5244,1
3239,1
4043,1
5567,1
2191,1
189,1
3616,1
4463,1
4774,1
1219,1
2379,1
4248,1
1234,1
3521,1
114,1
1847,1
2574,1
3494,1
1054,1
662,1
2421,1
1504,1
2523,1
4086,1
4015,0
234,1
2874,1
5353,1
345,1
3726,1
3743,1
208,1
1602,1
3717,1
2824,1
90,1
5501,1
3701,1
4753,1
4242,1
1658,1
5227,1
4181,1
2519,1
1042,1
4122,1
1289,1
1221,1
3176,1
4912,1
2517,1
2597,1
5046,1
4047,1
5068,1
2143,1
1934,1
4406,1
1662,1
3085,1
1890,1
2859,1
1382,1
3868,1
5293,1
5482,1
2757,1
1715,1
5229,1
4709,1
2722,1
35,1
5041,1
1905,1
5571,1
720,1
4927,1
151,1
88,1
2775,1
5247,1
4541,1
1882,1
2588,1
1829,1
510,1
618,1
3772,1
3816,1
2174,1
3110,1
2244,1
590,1
443,1
3252,1
3496,1
2578,1
1858,1
3073,1
106,1
2458,1
5118,1
211,1
2634,1
807,1
838,1
424,1
130,1
4717,1
2900,1
2400,1
2572,1
3247,1
4943,1
2649,1
327,1
4723,1
3919,1
3753,1
3135,0
5181,1
995,1
3603,1
1608,1
1940,1
1587,1
120,1
1277,1
768,1
1874,1
5076,1
1656,1
3796,1
336,1
4514,1
5298,1
574,1
1750,1
4831,1
4062,1
1878,1
2051,1
4679,1
4846,1
4200,1
1527,1
3281,1
872,1
360,1
1366,1
588,1
3482,1
4435,1
2442,1
2990,1
3279,1
4866,1
127,1
847,1
3491,1
4220,1
3375,1
5075,1
4687,1
5154,1
2246,1
4451,1
1319,1
694,1
789,1
4581,1
717,1
5338,1
3314,1
741,1
4246,1
2408,1
3407,1
29,1
215,1
2594,1
2680,1
309,1
4055,1
3624,1
1214,1
748,1
4604,1
4134,1
796,1
3262,1
3063,1
3617,1
2188,1
4921,1
4637,1
4713,1
52,1
1703,1
3348,1
778,1
1060,1
3982,1
3206,1
2533,1
318,1
4988,1
973,1
4486,1
4028,1
3215,1
575,1
855,1
3811,1
2826,1
3651,1
2297,1
2295,1
4100,1
5425,1
186,1
2921,1
3569,1
4888,1
3130,1
5196,1
948,1
4408,1
5027,1
1296,1
5407,1
2318,1
5148,1
3404,1
115,1
3251,1
2095,1
354,1
3386,1
3191,1
323,1
4184,1
528,1
177,1
3483,1
1779,1
3558,1
2181,1
450,1
577,1
128,1
4650,1
139,1
4226,1
2922,1
5161,1
1825,1
1421,1
1788,1
1080,1
4317,1
110,1
5421,1
5209,1
3356,1
3564,1
1898,1
3243,1
3941,1
4933,1
2949,1
1888,1
441,1
4903,1
1108,1
101,1
3754,1
2881,1
4335,1
5346,1
1184,1
3608,1
99,1
4371,1
287,1
1169,1
2323,1
1879,1
1991,1
1384,1
1355,1
1262,1
3689,1
5135,1
3113,1
3667,1
387,1
1167,1
3755,1
193,1
1176,1
2795,1
4358,1
5058,1
5271,1
4137,1
630,1
1281,1
1240,1
2225,1
4524,1
826,1
5404,1
3254,1
2754,1
5522,1
2367,1
1834,1
5059,1
2044,1
2431,1
4111,1
3806,1
1141,1
1142,1
5134,1
3985,1
2759,1
328,1
1907,1
203,1
75,1
2864,1
813,1
2346,1
999,1
4431,1
202,1
1724,1
4684,1
446,1
3495,1
17,1
4245,1
497,1
1391,1
1216,1
98,1
5174,1
5545,1
2441,1
1,1
4403,1
2149,1
2342,1
3546,1
4454,1
5006,1
3682,1
4920,1
282,1
4166,1
3013,1
21,1
3858,1
4878,1
5286,1
3722,1
4108,1
5385,1
4978,1
1217,1
751,1
1512,1
3365,1
1862,1
1255,1
143,1
4716,1
2863,1
888,1
3244,1
1969,1
4075,1
2610,1
4359,1
908,1
1627,1
5318,1
3823,1
1202,1
4277,1
1436,1
4799,1
1987,1
1938,1
5020,1
4855,1
1994,1
4376,1
1076,1
4634,1
701,1
5029,1
3842,1
2977,1
4714,1
259,1
5149,1
1335,1
2972,1
5007,1
310,1
4091,1
615,1
3185,1
3193,1
579,1
4659,1
1258,1
2268,1
3790,1
3292,1
1451,1
2206,1
4525,1
1401,1
2987,1
178,1
2924,1
4061,1
4349,1
903,1
2672,1
1641,1
1264,1
269,1
2093,1
4441,1
487,1
2861,1
5313,1
3242,1
4190,1
5525,1
699,1
5299,1
4337,1
3761,1
298,1
5117,1
1740,1
1885,1
4991,1
2847,1
4405,1
647,1
2069,1
2992,1
3433,1
2275,1
92,1
4199,1
1246,1
472,1
4685,1
4864,1
2317,1
4192,1
4355,1
1081,1
3672,1
5272,1
1374,1
4586,1
2168,1
996,1
503,1
1571,1
4066,1
3762,1
734,1
5171,1
1962,1
2953,1
2525,1
2521,1
3508,1
549,1
4852,1
2581,1
3639,1
1514,1
1329,1
5356,1
4429,1
5473,1
2978,1
5230,1
5052,1
763,1
2029,1
4768,1
1469,1
4478,1
3278,1
1783,1
1860,1
2192,0
3675,1
2064,1
4377,1
887,1
1419,1
4625,1
2741,1
182,1
4121,1
3196,1
2132,1
739,1
3586,1
1373,1
4083,1
2425,1
5152,1
5447,1
2624,1
2789,1
229,1
51,1
1964,1
2656,1
752,1
2879,1
205,1
2890,1
1595,1
2461,1
3576,1
2254,1
4063,1
74,1
5191,1
2061,1
4416,1
2483,1
4786,1
3875,1
4546,1
4120,1
5339,1
2381,1
2033,1
4078,1
787,1
868,1
771,1
4179,1
5236,1
5290,1
1114,1
3440,1
1947,1
1919,1
5026,1
3855,1
4560,1
89,1
819,1
166,1
1300,1
4756,1
4902,1
3579,1
4385,1
4357,1
2096,1
2224,1
3501,1
3430,1
5344,1
5477,1
4564,1
564,1
3802,1
5352,1
2374,1
3371,1
4032,1
1068,1
1640,1
3980,1
5031,1
4798,1
415,1
4841,1
4885,1
1290,1
5307,1
4261,1
1438,1
1492,1
483,1
2501,1
4705,1
4765,1
3454,1
3567,1
1524,1
3419,1
3039,1
5358,1
617,1
851,1
3555,1
4183,1
3940,1
4559,1
2108,1
1769,1
1385,1
3360,1
2730,1
2013,1
3080,1
1344,1
1487,1
28,1
5306,1
3320,1
4819,1
1342,1
197,1
192,1
2114,1
5085,1
1544,1
1509,1
2544,1
4051,1
1760,1
1326,1
2474,1
4910,1
1171,1
4843,1
982,1
4016,1
4606,1
5348,1
275,1
2113,1
5333,1
2595,1
463,1
4393,1
3582,1
3560,1
4046,1
4474,1
1972,1
428,1
860,1
2420,1
3703,1
1426,1
5459,1
1503,1
2193,1
1376,1
5349,1
1324,1
2814,1
14,1
1133,1
436,1
3740,1
4661,1
3778,1
3599,1
4654,1
2970,1
4187,1
