,state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
2509,0.34,0.44214876033057854,0.010408326661329063,0.5059011802360472,1.0,1.0,0.0,0.20995732574679943,0.6363636363636364,0.2100066934404284,0.3942810008248557,0.6705882352941176,0.3943707538013588,0.43088607594936706,0.56,0.43106359032076536,0.545,0.15,0.5444444444444444,0.6306053811659192
4027,1.0,0.2727272727272727,0.0,0.7271454290858171,1.0,1.0,0.0,0.35561877667140823,0.5818181818181818,0.3555890227576975,0.8097332966730822,0.6705882352941176,0.8097703008735038,0.520759493670886,0.42857142857142855,0.5211029825548678,0.51,0.2,0.5092592592592592,1.0
2125,0.78,0.5206611570247934,1.0,0.7581516303260653,1.0,0.0,0.5192307692307693,0.39857752489331433,0.3575757575757576,0.3985943775100402,0.6142425075611768,0.6529411764705882,0.6143642834034293,0.6529113924050632,0.41714285714285715,0.6533483398987057,0.19,0.5,0.19074074074074074,1.0
119,0.26,0.39669421487603307,0.010408326661329063,0.007801560312062412,1.0,1.0,0.0,0.6822190611664296,0.7575757575757576,0.6822289156626506,0.5905966455870223,0.6529411764705882,0.5907473309608542,0.3627848101265823,0.46285714285714286,0.3629712999437254,0.43499999999999994,0.25,0.4351851851851852,0.6306053811659192
1605,0.24,0.2975206611570248,1.0,0.864372874574915,1.0,1.0,0.0,0.39004267425320055,0.6181818181818182,0.3900602409638554,0.5795985702502062,0.6705882352941176,0.5797476544807506,0.48455696202531645,0.6857142857142857,0.4845244794597636,0.5549999999999999,0.2,0.5555555555555555,1.0
212,0.76,0.3347107438016529,1.0,0.060612122424484896,1.0,0.0,0.46153846153846156,0.4415362731152205,0.793939393939394,0.44143239625167335,0.6722573549628815,0.6235294117647059,0.6722743448722097,0.309873417721519,0.38857142857142857,0.3100731570061902,0.5349999999999999,0.15,0.5351851851851852,1.0
3000,0.62,0.35537190082644626,0.0,0.6235247049409882,1.0,1.0,0.0,0.6349928876244665,0.6606060606060606,0.6348728246318608,0.3505636513610118,0.5058823529411764,0.3506955677774183,0.7324050632911393,0.4742857142857143,0.7326955543050084,0.725,0.2,0.7259259259259259,0.3716367713004484
737,0.34,0.371900826446281,1.0,0.03220644128825765,0.0,1.0,0.0,0.41251778093883357,0.5393939393939394,0.412483266398929,0.48336541105306574,0.6,0.4833387253316079,0.5663291139240506,0.8628571428571429,0.5666854248733821,0.835,0.15,0.8351851851851851,0.6306053811659192
3909,0.34,0.6363636363636364,0.0,0.4700940188037607,0.0,0.0,0.7307692307692307,0.667425320056899,0.509090909090909,0.6673360107095048,0.5908715974704427,0.7,0.5910708508573277,0.49797468354430374,0.3942857142857143,0.498030388294879,0.4,0.1,0.4,1.0
4452,0.52,0.7024793388429752,0.010408326661329063,0.9575915183036607,1.0,1.0,0.0,0.48904694167852064,0.6,0.48895582329317266,0.6851800934836404,0.5588235294117647,0.685215140731155,0.4427848101265823,0.46285714285714286,0.4428812605514913,0.625,0.2,0.6259259259259259,1.0
77,0.68,0.5909090909090909,0.010408326661329063,0.34386877375475094,1.0,1.0,0.0,0.17524893314367,0.7090909090909091,0.17520080321285142,0.2119879021171295,0.5,0.2119055321902297,0.4379746835443038,0.5657142857142857,0.43837929093978617,0.41,0.35,0.4092592592592592,0.14013452914798205
4598,0.38,0.23140495867768596,1.0,0.8397679535907181,1.0,0.0,0.46153846153846156,0.3988620199146515,0.6181818181818182,0.3987617135207496,0.4676931536981028,0.6294117647058823,0.4678097703008735,0.36379746835443033,0.5828571428571429,0.36409679234665165,0.7,0.05,0.7,1.0
1264,0.84,0.29338842975206614,0.010408326661329063,0.21484296859371874,1.0,1.0,0.0,0.4182076813655761,0.47878787878787876,0.4181726907630522,0.44624690679131157,0.6058823529411764,0.44645745713361373,0.41240506329113924,0.45714285714285713,0.4124929656724817,0.525,0.2,0.5259259259259259,1.0
4623,0.02,0.30165289256198347,1.0,0.3844768953790758,1.0,1.0,0.0,0.5891891891891892,0.47878787878787876,0.589190093708166,0.5004124278251306,0.5882352941176471,0.5004852798447105,0.5916455696202532,0.41714285714285715,0.5920090039392234,0.37,0.4,0.37037037037037035,1.0
3074,0.98,0.4628099173553719,0.0,0.6153230646129226,1.0,1.0,0.0,0.20625889046941678,0.5333333333333333,0.2063253012048193,0.560901842177619,0.6588235294117647,0.5609835004852798,0.29848101265822785,0.6742857142857143,0.2988182329769274,0.32999999999999996,0.15,0.3296296296296296,1.0
3883,0.22,0.5413223140495868,1.0,0.6725345069013803,1.0,1.0,0.0,0.3991465149359886,0.8727272727272727,0.3990963855421687,0.8105581523233435,0.5235294117647059,0.8107408605629246,0.3886075949367089,0.72,0.38885762521102984,0.585,0.2,0.5851851851851851,0.6306053811659192
364,0.72,0.7975206611570248,0.010408326661329063,0.013402680536107221,1.0,1.0,0.0,0.4617354196301565,0.5333333333333333,0.46168005354752345,0.5875721748693978,0.6941176470588235,0.5875121319961177,0.4863291139240506,0.46285714285714286,0.4862127180641531,0.545,0.1,0.5444444444444444,0.5723094170403588
3930,0.64,0.32231404958677684,1.0,0.9435887177435487,1.0,1.0,0.0,0.5328591749644381,0.6545454545454545,0.5327978580990629,0.4869397855375309,0.4235294117647059,0.4868974441928179,0.6815189873417721,0.7714285714285715,0.6814856499718627,0.475,0.15,0.47592592592592586,0.3716367713004484
2995,0.06,0.2809917355371901,1.0,0.9697939587917583,1.0,0.0,0.5961538461538461,0.5544807965860598,0.38181818181818183,0.554384203480589,0.5268078086334892,0.5294117647058824,0.5270139113555483,0.38734177215189874,0.7371428571428571,0.38773213280810354,0.6599999999999999,0.1,0.6592592592592592,0.6306053811659192
834,0.18,0.4256198347107438,1.0,0.5613122624524906,1.0,1.0,0.0,0.21735419630156474,0.703030303030303,0.2173694779116466,0.31784437723398407,0.43529411764705883,0.31802005823358137,0.5729113924050633,0.5371428571428571,0.5728756330894766,0.47000000000000003,0.15,0.4703703703703703,0.3716367713004484
4649,0.04,0.5661157024793388,0.010408326661329063,0.10682136427285457,1.0,0.0,0.6346153846153846,0.6113798008534851,0.5515151515151515,0.6112784471218207,0.7937860874346989,0.5705882352941176,0.7939178259462957,0.6650632911392405,0.3657142857142857,0.6651660101294317,0.40499999999999997,0.1,0.4055555555555555,0.5723094170403588
3676,0.54,0.40082644628099173,0.0,0.16563312662532506,1.0,1.0,0.0,0.4751066856330014,0.36363636363636365,0.4750669344042838,0.34396480615892217,0.38235294117647056,0.34390164995147204,0.6645569620253164,0.5714285714285714,0.6646032639279685,0.445,0.1,0.4444444444444444,1.0
4086,0.1,0.4214876033057851,0.0,0.48669733946789356,1.0,0.0,0.7692307692307693,0.3991465149359886,0.3151515151515151,0.3990963855421687,0.6752818256805059,0.6705882352941176,0.675509543836946,0.2827848101265823,0.49142857142857144,0.2830613393359595,0.5549999999999999,0.3,0.5555555555555555,1.0
4197,0.68,0.3140495867768595,1.0,0.3812762552510502,1.0,1.0,0.0,0.5254623044096728,0.7878787878787878,0.5254350736278447,0.5334066538355788,0.6176470588235294,0.533484309285021,0.6306329113924051,0.52,0.6308384918401801,0.45,0.2,0.45,1.0
425,0.38,0.5289256198347108,0.0,0.8499699939987998,0.0,1.0,0.0,0.5487908961593172,0.793939393939394,0.5486947791164659,0.5100357437448446,0.5941176470588235,0.5101908767389194,0.5194936708860759,0.7428571428571429,0.5194147439504784,0.545,0.2,0.5444444444444444,1.0
3502,0.34,0.3181818181818182,1.0,0.09681936387277455,1.0,1.0,0.0,0.4139402560455192,0.7515151515151515,0.4139892904953146,0.3942810008248557,0.4176470588235294,0.3943707538013588,0.7369620253164557,0.7028571428571428,0.7371975239167136,0.475,0.25,0.47592592592592586,0.3716367713004484
174,0.36,0.7355371900826446,0.010408326661329063,0.9237847569513903,1.0,1.0,0.0,0.6236130867709815,0.5575757575757576,0.6234939759036144,0.4107781138300798,0.7352941176470589,0.41087026852151404,0.6194936708860759,0.5942857142857143,0.6195835678109173,0.305,0.25,0.3055555555555555,0.5723094170403588
1411,0.54,0.4214876033057851,0.0,0.5351070214042809,1.0,1.0,0.0,0.4739687055476529,0.509090909090909,0.4738955823293173,0.5290074237008524,0.5352941176470588,0.5289550307343902,0.4250632911392405,0.6571428571428571,0.4254361283061339,0.385,0.3,0.3851851851851852,1.0
4811,0.58,0.2727272727272727,1.0,0.98999799959992,1.0,1.0,0.0,0.352773826458037,0.4666666666666667,0.3527443105756359,0.6109430849601319,0.5588235294117647,0.611129084438693,0.3827848101265823,0.6342857142857142,0.3826674169949353,0.655,0.1,0.6555555555555556,0.5723094170403588
2818,0.64,0.6033057851239669,0.010408326661329063,0.3188637727545509,0.0,1.0,0.0,0.5229018492176387,0.6848484848484848,0.5229250334672022,0.45284575199340116,0.6470588235294118,0.45292785506308636,0.2810126582278481,0.49714285714285716,0.28137310073157007,0.505,0.2,0.5055555555555555,1.0
4841,0.5,0.3677685950413223,1.0,0.17863572714542908,1.0,0.0,0.6153846153846154,0.5519203413940256,0.503030303030303,0.5518741633199464,0.41710200714874895,0.6529411764705882,0.4170171465545131,0.5210126582278481,0.6342857142857142,0.5211029825548678,0.465,0.2,0.46481481481481474,1.0
3841,0.34,0.5371900826446281,1.0,0.5347069413882777,1.0,1.0,0.0,0.597724039829303,0.5878787878787879,0.5977242302543507,0.48748968930437175,0.5647058823529412,0.4875444839857651,0.32962025316455695,0.7771428571428571,0.32976927405740014,0.665,0.05,0.6648148148148147,0.5723094170403588
3332,0.84,0.30165289256198347,1.0,0.7625525105021004,1.0,0.0,0.4807692307692308,0.6668563300142247,0.6848484848484848,0.6668340026773762,0.7310970580148474,0.4823529411764706,0.7311549660304109,0.6111392405063292,0.44,0.6111423747889702,0.6849999999999999,0.2,0.6851851851851851,0.5723094170403588
419,0.66,0.47107438016528924,1.0,0.3072614522904581,1.0,1.0,0.0,0.5237553342816501,0.593939393939394,0.5237617135207497,0.8990926587847127,0.4294117647058823,0.8993853121967001,0.5379746835443038,0.6057142857142858,0.537985368598762,0.375,0.3,0.3759259259259259,0.6306053811659192
4078,0.08,0.3305785123966942,0.010408326661329063,0.3194638927785557,1.0,1.0,0.0,0.3559032716927454,0.6242424242424243,0.35592369477911645,0.5762991476491613,0.6058823529411764,0.5765124555160143,0.4713924050632911,0.44571428571428573,0.4715813168261115,0.5900000000000001,0.05,0.5907407407407407,1.0
1327,0.26,0.7933884297520661,1.0,0.8869773954790958,1.0,1.0,0.0,0.27539118065433854,0.5575757575757576,0.27543507362784475,0.39208138575749246,0.6058823529411764,0.3921061145260433,0.5318987341772152,0.6571428571428571,0.5317951603826674,0.545,0.25,0.5444444444444444,0.6306053811659192
4854,0.78,0.6487603305785123,0.0,0.248249649929986,1.0,1.0,0.0,0.6972972972972973,0.4121212121212121,0.697289156626506,0.5383557877371461,0.5882352941176471,0.5383371077321255,0.6182278481012657,0.45714285714285713,0.618458075407991,0.575,0.2,0.5759259259259258,0.6306053811659192
3503,0.2,0.49173553719008267,0.0,0.28865773154630925,1.0,1.0,0.0,0.42019914651493595,0.6121212121212121,0.42018072289156627,0.3962056640087985,0.4176470588235294,0.39631187318020056,0.6,0.6571428571428571,0.6004501969611705,0.5549999999999999,0.25,0.5555555555555555,0.5723094170403588
4061,0.14,0.6776859504132231,0.0,0.25845169033806764,1.0,1.0,0.0,0.555334281650071,0.509090909090909,0.5552208835341366,0.6310145724498213,0.6823529411764706,0.6311873180200582,0.46911392405063296,0.84,0.46933033202025887,0.595,0.15,0.5944444444444444,0.5723094170403588
3685,0.42,0.5743801652892562,0.0,0.000600120024004801,1.0,1.0,0.0,0.4219061166429588,0.5212121212121212,0.42185408299866134,0.5064613692603794,0.888235294117647,0.5066321578777094,0.45341772151898735,0.4742857142857143,0.453573438379291,0.545,0.2,0.5444444444444444,0.5723094170403588
158,0.48,0.02066115702479339,0.0,0.2454490898179636,1.0,1.0,0.0,0.5223328591749644,0.7090909090909091,0.5222556894243642,0.7058014847401705,0.4235294117647059,0.7059204141054675,0.4521518987341772,0.4514285714285714,0.4524479459763646,0.51,0.1,0.5092592592592592,1.0
2139,0.9,0.3760330578512397,0.0,0.884376875375075,0.0,1.0,0.0,0.7177809388335704,0.7272727272727273,0.7177041499330656,0.569150398680231,0.6588235294117647,0.5693950177935944,0.7205063291139241,0.5428571428571428,0.7208778840742825,0.6,0.25,0.6,0.3716367713004484
4162,0.7,0.012396694214876033,1.0,0.38787757551510305,0.0,1.0,0.0,0.4827880512091038,0.5818181818181818,0.4827643908969211,0.3623865823480891,0.5529411764705883,0.3623422840504691,0.620506329113924,0.49142857142857144,0.6207090602138435,0.71,0.2,0.7092592592592593,0.5723094170403588
4976,0.34,0.5950413223140496,0.010408326661329063,0.11162232446489298,1.0,1.0,0.0,0.3840682788051209,0.7393939393939394,0.38403614457831325,0.5672257354962882,0.5176470588235295,0.5674538984147525,0.5326582278481012,0.5142857142857142,0.5329206527855938,0.985,0.2,0.9851851851851852,0.5723094170403588
2371,0.28,0.4090909090909091,1.0,0.9809961992398479,1.0,1.0,0.0,0.5459459459459459,0.5757575757575758,0.5458500669344043,0.5523783337915865,0.5941176470588235,0.5525719831769653,0.6883544303797468,0.4228571428571429,0.6888013505908835,0.9099999999999999,0.15,0.9092592592592592,1.0
4906,0.56,0.743801652892562,0.0,0.6513302660532106,1.0,0.0,0.3076923076923077,0.5576102418207681,0.5151515151515151,0.5575635876840697,0.2944734671432499,0.7,0.29440310579100615,0.5212658227848102,0.6285714285714286,0.5216657287563309,0.485,0.05,0.48518518518518516,1.0
2529,0.96,0.5206611570247934,1.0,0.1736347269453891,1.0,1.0,0.0,0.6219061166429587,0.5636363636363636,0.6218206157965194,0.41215287324718175,0.7647058823529411,0.4121643481074086,0.5179746835443038,0.7485714285714286,0.5182892515475521,0.45999999999999996,0.25,0.4592592592592592,0.6306053811659192
946,0.62,0.1859504132231405,0.010408326661329063,0.05041008201640328,1.0,1.0,0.0,0.7322901849217638,0.40606060606060607,0.7322623828647925,0.7178993676106682,0.5352941176470588,0.717890650274992,0.5174683544303798,0.6114285714285714,0.5177265053460889,0.67,0.25,0.6703703703703704,0.6306053811659192
4956,0.56,0.39669421487603307,1.0,0.9003800760152031,1.0,1.0,0.0,0.5627311522048365,0.7393939393939394,0.5627510040160644,0.5724498212812758,0.8647058823529412,0.5726302167583306,0.2691139240506329,0.6571428571428571,0.268992684299381,0.755,0.2,0.7555555555555555,1.0
4196,0.34,0.2396694214876033,0.0,0.9041808361672334,1.0,1.0,0.0,0.4423897581792319,0.5575757575757576,0.44243641231593045,0.528732471817432,0.611764705882353,0.5289550307343902,0.3121518987341772,0.6057142857142858,0.31232414181204277,0.525,0.15,0.5259259259259259,0.14013452914798205
473,0.98,0.29338842975206614,0.0,0.9613922784556911,1.0,0.0,0.6346153846153846,0.2748221906116643,0.3575757575757576,0.2747657295850067,0.8671982403079461,0.5764705882352941,0.8673568424458103,0.41341772151898737,0.6685714285714286,0.413618458075408,0.31,0.2,0.30925925925925923,0.14013452914798205
4469,0.2,0.5330578512396694,1.0,0.8995799159831966,1.0,1.0,0.0,0.6014224751066857,0.5515151515151515,0.6014056224899598,0.5251580973329667,0.36470588235294116,0.5253963118731801,0.5248101265822785,0.6228571428571429,0.5250422059651098,0.58,0.15,0.5796296296296296,1.0
666,0.74,0.49173553719008267,1.0,0.4312862572514503,1.0,1.0,0.0,0.716927453769559,0.7272727272727273,0.7168674698795181,0.41297772889744294,0.6235294117647059,0.4131349077968295,0.38430379746835447,0.5485714285714286,0.3843556555993247,0.48,0.05,0.4796296296296296,0.6306053811659192
2616,0.74,0.6776859504132231,1.0,0.868373674734947,1.0,0.0,0.6346153846153846,0.31749644381223324,0.8484848484848485,0.3174364123159304,0.5864723673357163,0.6529411764705882,0.5865415723066968,0.6774683544303798,0.6571428571428571,0.6775464265616207,0.8,0.15,0.8,0.5723094170403588
3018,0.42,0.4297520661157025,1.0,0.7953590718143628,1.0,1.0,0.0,0.44523470839260315,0.6181818181818182,0.44528112449799195,0.38548254055540276,0.788235294117647,0.3856357165965707,0.5756962025316456,0.6342857142857142,0.5756893640967924,0.61,0.1,0.6092592592592593,0.6306053811659192
1232,0.32,0.09504132231404959,0.0,0.4384876975395079,1.0,1.0,0.0,0.6913229018492176,0.5515151515151515,0.6912650602409639,0.5056365136101183,0.45294117647058824,0.5056615981882886,0.4665822784810127,0.6228571428571429,0.4665166010129431,0.765,0.3,0.7648148148148147,0.5723094170403588
1512,0.48,0.08677685950413223,0.010408326661329063,0.4852970594118824,1.0,0.0,0.2692307692307692,0.566429587482219,0.6060606060606061,0.5664323962516734,0.6098432774264504,0.6058823529411764,0.6098350048527985,0.16632911392405064,0.52,0.16657287563308948,0.21000000000000002,0.05,0.20925925925925923,1.0
4599,0.52,0.5206611570247934,0.010408326661329063,0.15843168633726745,1.0,1.0,0.0,0.7715504978662873,0.6666666666666666,0.7714190093708166,0.5870222711025571,0.47058823529411764,0.5871886120996441,0.5108860759493671,0.5828571428571429,0.5109735509285313,0.6599999999999999,0.2,0.6592592592592592,0.5723094170403588
1634,0.48,0.29338842975206614,1.0,0.5993198639727946,1.0,1.0,0.0,0.47197724039829303,0.6909090909090909,0.4718875502008032,0.648611492988727,0.5705882352941176,0.6486573924296345,0.5318987341772152,0.6857142857142857,0.5317951603826674,0.6,0.25,0.6,0.6306053811659192
3015,0.38,0.5413223140495868,1.0,0.17003400680136027,1.0,0.0,0.4807692307692308,0.3220483641536273,0.5818181818181818,0.321954484605087,0.7420951333516634,0.6294117647058823,0.7421546425105144,0.58,0.49714285714285716,0.5801913337084975,0.355,0.35,0.3555555555555555,0.6306053811659192
1572,0.38,0.23140495867768596,0.0,0.26025205041008204,1.0,1.0,0.0,0.4386913229018492,0.4727272727272727,0.4385876840696118,0.5408303546879296,0.5,0.5409252669039145,0.6417721518987342,0.5542857142857143,0.6420934158694429,0.505,0.45,0.5055555555555555,1.0
2115,0.08,0.5661157024793388,0.0,0.6359271854370874,0.0,1.0,0.0,0.5581792318634423,0.7818181818181819,0.5580655957161982,0.48529007423700854,0.5058823529411764,0.4852798447104497,0.5883544303797469,0.6171428571428571,0.5886325267304446,0.76,0.05,0.7592592592592592,0.5723094170403588
4851,0.84,0.15702479338842976,0.0,0.8821764352870574,1.0,1.0,0.0,0.539402560455192,0.5393939393939394,0.5393239625167335,0.69177893868573,0.6823529411764706,0.6920090585571013,0.5845569620253165,0.6,0.5846933033202026,0.27,0.4,0.27037037037037037,0.3716367713004484
4782,0.82,0.43388429752066116,1.0,0.40428085617123427,1.0,1.0,0.0,0.269701280227596,0.6848484848484848,0.2697456492637216,0.7786637338465768,0.5588235294117647,0.7787123908120349,0.5551898734177215,0.6057142857142858,0.5554305008441193,0.33999999999999997,0.2,0.34074074074074073,1.0
1835,0.14,0.5785123966942148,1.0,0.0666133226645329,1.0,0.0,0.7115384615384616,0.5274537695590328,0.5272727272727272,0.5274431057563588,0.4907891119054166,0.7529411764705882,0.49077968295050145,0.5526582278481013,0.6114285714285714,0.5526167698368036,0.4,0.15,0.4,0.14013452914798205
1251,0.86,0.35537190082644626,1.0,0.9835967193438687,1.0,1.0,0.0,0.48108108108108105,0.6363636363636364,0.481091030789826,0.46714324993126205,0.6,0.4671627305079262,0.62,0.6057142857142858,0.6201463140123804,0.495,0.5,0.4944444444444444,0.3716367713004484
1983,0.8,0.4669421487603306,0.0,0.39247849569913984,1.0,0.0,0.07692307692307693,0.4019914651493599,0.5818181818181818,0.40194109772423026,0.6334891394006049,0.5176470588235295,0.6334519572953736,0.5663291139240506,0.4857142857142857,0.5666854248733821,0.47000000000000003,0.15,0.4703703703703703,0.3716367713004484
233,0.66,0.21487603305785125,1.0,0.0028005601120224045,1.0,1.0,0.0,0.4802275960170697,0.5878787878787879,0.4802543507362784,0.6057189991751444,0.5117647058823529,0.6059527660951148,0.3906329113924051,0.6457142857142857,0.3905458638154193,0.545,0.1,0.5444444444444444,0.5723094170403588
1108,1.0,0.6198347107438017,0.0,0.5609121824364873,1.0,1.0,0.0,0.6711237553342817,0.6303030303030303,0.6710174029451138,0.22161121803684355,0.5352941176470588,0.22161112908443867,0.5387341772151899,0.6628571428571428,0.5391108610016883,0.29,0.1,0.29074074074074074,0.3716367713004484
3518,0.14,0.06611570247933884,0.0,0.7543508701740348,1.0,0.0,0.5769230769230769,0.7965860597439545,0.6121212121212121,0.7965194109772423,0.7118504261754193,0.5,0.7120672921384665,0.5822784810126582,0.7428571428571429,0.58244231851435,0.515,0.1,0.5148148148148147,0.3716367713004484
2795,0.44,0.30991735537190085,0.0,0.8817763552710542,1.0,1.0,0.0,0.2574679943100996,0.8606060606060606,0.25753012048192775,0.5820731372009899,0.4411764705882353,0.5820122937560659,0.49341772151898733,0.4342857142857143,0.4935284186831739,0.465,0.1,0.46481481481481474,1.0
988,0.66,0.5661157024793388,0.0,0.7135427085417083,1.0,1.0,0.0,0.487624466571835,0.7090909090909091,0.48761713520749667,0.31674456970030246,0.7529411764705882,0.3167259786476868,0.5683544303797469,0.6571428571428571,0.5683736634777715,0.85,0.2,0.8499999999999999,0.3716367713004484
3980,0.42,0.2231404958677686,0.0,0.5809161832366473,1.0,1.0,0.0,0.5157894736842106,0.6060606060606061,0.5157295850066934,0.5512785262579049,0.7176470588235294,0.5512779035910709,0.5744303797468354,0.5657142857142857,0.5745638716938661,0.545,0.1,0.5444444444444444,1.0
4410,0.38,0.3512396694214876,0.010408326661329063,0.6775355071014203,1.0,1.0,0.0,0.33741109530583213,0.6424242424242425,0.3373493975903615,0.6145174594445972,0.6764705882352942,0.6146878032999029,0.239746835443038,0.06857142857142857,0.23972988182329769,0.665,0.05,0.6648148148148147,0.6306053811659192
2304,0.72,0.38016528925619836,1.0,0.95999199839968,1.0,0.0,0.6153846153846154,0.332574679943101,0.7272727272727273,0.33249665327978584,0.638988177069013,0.5705882352941176,0.6389517955354255,0.32329113924050634,0.64,0.3235790658413056,0.55,0.45,0.55,0.5723094170403588
2684,0.74,0.045454545454545456,1.0,0.5273054610922184,1.0,1.0,0.0,0.582076813655761,0.593939393939394,0.5819946452476573,0.5842727522683531,0.5294117647058824,0.5842769330313814,0.4610126582278481,0.5428571428571428,0.46088913899831174,0.49000000000000005,0.35,0.4907407407407407,0.6306053811659192
1356,0.24,0.4834710743801653,1.0,0.048409681936387276,1.0,1.0,0.0,0.38719772403982927,0.7272727272727273,0.3872155287817939,0.5614517459444597,0.6058823529411764,0.5616305402782271,0.5777215189873417,0.5142857142857142,0.5779403489026449,0.5650000000000001,0.2,0.5648148148148148,1.0
3773,0.02,0.22727272727272727,1.0,0.546509301860372,1.0,1.0,0.0,0.642674253200569,0.3151515151515151,0.642570281124498,0.6653835578773715,0.40588235294117647,0.6654804270462633,0.3658227848101266,0.38857142857142857,0.3657850309510411,0.585,0.15,0.5851851851851851,0.5723094170403588
163,0.44,0.25206611570247933,1.0,0.8685737147429486,1.0,1.0,0.0,0.28136557610241825,0.6242424242424243,0.2812918340026774,0.3722848501512236,0.7176470588235294,0.3723714008411517,0.5989873417721518,0.4685714285714286,0.5993247045582443,0.61,0.05,0.6092592592592593,1.0
3034,0.62,0.30578512396694213,1.0,0.0036007201440288058,1.0,0.0,0.8076923076923077,0.7081081081081081,0.5636363636363636,0.7079986613119144,0.4696178168820457,0.6352941176470588,0.4697508896797153,0.2645569620253165,0.52,0.2644907146876759,0.5599999999999999,0.4,0.5592592592592592,1.0
184,0.9,0.6983471074380165,0.0,0.2354470894178836,0.0,1.0,0.0,0.7394025604551919,0.4121212121212121,0.7392904953145917,0.6736321143799835,0.7176470588235294,0.6738919443545778,0.34025316455696203,0.6914285714285714,0.3404614518851998,0.42000000000000004,0.15,0.42037037037037034,0.3716367713004484
3219,0.68,0.6157024793388429,1.0,0.9913982796559312,1.0,0.0,0.6730769230769231,0.39715504978662874,0.43636363636363634,0.3970883534136546,0.915039868023096,1.0,0.9152377871239081,0.5412658227848102,0.6,0.5413618458075408,0.44000000000000006,0.1,0.4407407407407407,0.6306053811659192
