,state
11211,1
122,1
1867,0
9197,1
11044,1
7952,0
3474,1
8498,1
12711,1
400,1
12596,1
2779,0
4897,0
1633,1
8296,1
9296,1
11307,1
6134,1
6385,0
9617,1
10080,0
1236,1
3695,0
6241,1
5091,1
9374,1
10794,1
6706,1
11755,0
454,0
15090,0
15292,1
5973,0
1803,0
12805,1
10816,1
15238,0
9493,1
7299,1
13896,1
13495,1
14716,1
3127,0
7675,0
14740,0
6971,1
1438,0
191,1
3216,0
10672,1
14624,1
5668,1
10944,1
12154,1
14587,1
6890,1
15304,1
2378,1
14815,0
13121,0
10685,1
7933,1
7605,1
5315,1
7941,1
9001,1
15027,1
2332,1
8187,0
3691,1
628,1
5639,1
3456,1
9458,1
866,1
13314,1
265,0
9006,1
8204,1
10959,1
54,1
1624,0
1275,1
2889,1
1938,1
6420,0
812,1
343,1
1872,0
7647,1
6091,1
6924,0
5729,1
6065,1
9521,0
8636,0
5081,1
9900,1
2715,1
7735,0
11907,0
4242,0
4465,0
12117,0
13137,1
10312,1
12599,0
12810,1
9007,1
5436,1
11174,1
9008,1
25,1
103,1
13093,1
2221,0
6060,1
13568,0
1029,0
757,1
974,0
14848,0
169,0
9367,1
1529,0
2082,1
2745,1
12018,1
1441,0
5147,1
6072,1
3754,0
2102,1
15001,0
3035,0
8388,1
5014,1
14160,1
3700,1
8370,0
15413,0
4113,1
14573,0
14732,0
15258,1
435,1
12340,0
14140,0
12210,1
8654,0
11093,1
9598,1
9418,1
13936,1
10787,1
6591,1
3241,0
5020,0
6578,0
607,0
14539,0
7199,1
6004,1
13163,0
11586,0
2882,1
2851,1
8319,1
13439,1
10028,1
8134,1
67,1
7698,0
10450,1
952,1
7102,1
7726,1
13317,0
10182,1
7279,1
4132,1
9183,0
3646,1
15059,0
5419,1
2837,1
12932,1
12604,0
7337,1
3464,1
13805,1
11021,1
1830,1
6816,1
5155,1
12550,1
6575,1
1554,1
4083,1
5878,0
1104,0
14518,1
928,1
1978,1
12049,1
12590,1
10220,1
656,0
2843,0
2456,1
13645,0
2819,0
7955,1
8496,1
1417,1
7513,1
4252,0
14423,0
1370,0
7418,1
3099,0
11974,1
10750,1
5037,0
9338,0
2106,1
3958,1
316,1
3124,1
14048,0
11293,0
6052,1
9765,0
10529,1
7923,1
14610,1
8957,1
11657,1
11273,1
15232,1
9,0
7383,0
12887,1
5934,1
9002,1
4264,0
8332,0
3544,1
15110,1
8847,0
2595,0
14865,0
9237,1
13110,1
440,0
9714,0
10296,1
4200,1
13250,1
3380,0
9844,0
5012,1
9968,0
8774,0
13894,1
3979,1
2132,1
162,1
11533,0
9071,1
9372,1
4772,0
14951,0
10370,1
260,1
15515,1
6719,1
3181,0
13809,0
8559,1
6012,1
8507,1
12792,0
4811,0
8412,1
4549,1
5672,1
5798,1
11313,1
14076,1
8740,1
3696,1
5434,1
14644,1
7098,1
11606,1
13097,1
5734,1
8173,0
10203,1
4023,1
7791,1
13053,1
4554,1
11008,1
11193,1
1660,1
4699,1
253,1
13998,1
6049,1
7891,0
11661,1
14022,1
15167,1
11596,0
12695,1
60,1
8916,1
11274,1
4415,1
5895,1
13958,1
8394,1
9980,1
6086,1
9140,0
4681,1
15087,1
11900,0
8873,1
15006,1
8881,1
5127,0
8935,1
2789,0
9254,0
5582,0
13968,0
6251,1
3660,0
12527,1
7560,1
7551,1
3231,1
8357,1
13427,1
8222,1
12029,0
503,1
8696,1
5881,1
13575,0
13851,0
11017,1
1068,1
4461,1
11323,1
1424,1
3184,1
11913,1
4553,1
11872,1
13619,0
9371,1
11091,1
3922,1
198,1
518,0
4742,1
11284,1
10024,1
5053,1
13546,0
9064,1
5473,1
1928,1
6658,1
6730,0
6707,1
6009,0
9345,1
1548,0
8596,1
12416,1
4822,0
6749,1
4668,1
13860,0
8954,1
3275,1
15284,1
12086,1
13114,0
8738,1
1118,0
7761,1
12112,0
1077,1
1647,1
452,1
7471,1
297,0
13684,1
2996,1
8003,1
8472,0
7930,1
5711,1
14447,0
2208,1
9086,0
3818,1
12411,1
11967,1
7509,1
1696,1
1108,0
5216,1
8983,1
4567,1
259,1
5377,1
11774,0
8913,1
5708,1
41,1
15478,1
8302,1
11881,0
11059,1
5523,0
15276,1
12339,1
5319,1
7720,1
7295,0
1603,1
7715,1
14866,0
6371,1
1054,1
13492,0
13334,1
2484,1
8427,0
14195,0
603,1
10971,1
3394,1
10022,1
1568,1
966,0
14870,1
13209,1
14512,1
14378,0
4755,1
5464,1
13924,0
9621,1
8161,0
404,0
14849,0
4413,1
9082,0
10076,1
4899,1
3141,0
2417,1
3526,1
460,1
6189,0
10710,1
9379,1
5497,1
3450,0
12829,1
10613,1
12694,1
12874,1
236,0
4061,0
5813,1
8327,1
8795,1
2180,1
13268,1
13175,1
4227,0
2841,0
15373,1
2162,0
12097,0
9445,1
1013,1
5844,1
11288,1
7296,1
10844,0
12227,0
419,0
3197,1
10324,0
12289,1
14357,1
3280,1
174,0
13479,0
6278,0
15517,1
6943,0
8192,0
4878,1
14120,1
3049,0
1642,1
6936,1
27,0
14098,0
610,1
15501,0
14531,1
6687,0
11841,1
2037,1
1336,1
8328,1
3514,1
13318,1
13807,0
9468,0
11081,1
4224,1
4343,0
4938,1
1264,1
266,0
4456,0
11875,0
12979,1
12037,1
1816,1
1356,0
5909,1
4137,1
723,1
3724,1
10071,1
14143,1
12851,1
10193,1
1569,0
2016,1
5673,1
12085,1
13832,0
8558,1
10109,0
2930,1
5429,1
168,1
9157,0
11844,0
3914,1
543,0
9467,1
12362,1
4981,1
3906,1
8673,0
15158,1
9274,1
5501,1
5730,1
176,0
6260,1
12022,1
12102,1
8914,1
10915,1
11478,0
15307,0
5228,1
10183,1
4140,0
14660,0
5333,0
7665,1
2539,0
23,1
6127,0
292,0
829,1
9448,1
3986,1
2898,0
2153,1
3494,1
2592,1
230,0
4311,1
15332,1
10177,1
4151,0
10519,1
14998,1
10216,1
12163,1
7311,1
5303,1
11481,1
1335,1
8228,0
7927,1
1773,1
6121,1
12982,1
10445,1
6858,0
4453,1
5865,1
7004,0
14383,0
13148,0
8330,0
6257,1
8651,0
5212,1
3218,1
8854,1
7176,0
4875,0
193,0
8150,1
3878,1
472,0
1516,0
5821,1
222,1
11877,0
15141,1
12611,1
6156,1
11961,1
1717,1
8314,1
9383,0
5055,1
12042,1
8263,0
6742,1
11019,0
10657,1
8343,1
15330,1
14210,0
3344,1
15528,0
6377,1
15051,1
4964,0
2117,1
14936,0
12388,1
8909,1
9020,0
4888,0
12024,1
11087,1
1745,1
4257,0
11079,1
13100,1
2405,0
9199,1
7900,0
13473,0
9536,0
11115,1
8311,1
4656,1
11721,0
8102,0
8072,0
14743,1
688,1
5758,0
12383,1
8158,0
1683,0
2122,1
10942,1
51,1
14505,0
3564,1
7603,0
5460,0
15023,1
3728,1
12665,1
7063,0
6032,1
3995,1
3531,1
4855,0
11292,0
4136,1
4474,1
12265,1
4143,1
12026,1
7576,0
8799,1
1995,1
5795,0
12302,1
11265,0
5300,1
2210,1
5604,0
822,1
336,1
10688,1
13403,0
13089,1
4309,1
5414,1
15381,1
1263,0
675,1
786,0
2842,0
1082,1
5985,1
3786,1
6215,1
9630,1
903,1
128,0
11084,1
6623,0
5778,0
11625,1
15253,1
6126,1
7984,1
10783,1
13529,0
3741,1
13995,1
10908,1
12269,1
15364,1
7315,0
9864,1
12076,0
1737,0
478,1
10934,1
716,1
14956,1
2907,1
3317,1
3459,0
11984,1
12853,1
4631,1
12392,1
3744,1
14474,1
7692,1
5347,1
307,1
11464,1
13673,1
1019,1
94,0
12007,0
5956,0
1934,1
3391,1
6256,0
15473,0
3886,1
4402,0
10102,1
2818,0
12940,0
133,1
15057,1
1072,1
5646,1
14831,0
3189,0
13707,1
2667,0
15166,1
9582,1
9727,1
2344,0
13694,0
12555,1
171,1
464,0
12231,0
1060,1
9069,0
5058,1
11588,1
10845,1
12736,1
4312,0
7777,1
8637,0
3128,1
4088,1
5792,0
10684,1
10626,1
14207,1
10034,1
8577,1
3644,1
7425,1
5239,0
13595,0
12660,1
5272,1
9406,1
6984,0
10002,0
1811,0
1909,0
4149,0
9114,0
8690,1
3940,1
3462,0
13205,1
8118,1
6360,1
10535,1
1063,0
11480,1
11989,1
12895,1
2786,1
15189,0
11298,0
7339,1
8385,0
32,0
4108,1
10993,1
3461,1
8927,1
1301,1
6363,1
11487,0
2051,1
13671,1
3281,1
4955,1
2091,1
12372,1
8968,1
4860,1
3173,1
10482,1
4399,1
2829,1
15200,1
10018,1
12633,1
246,0
13313,1
13284,0
12254,0
22,0
14100,1
4977,0
12666,1
240,0
905,0
5401,1
743,1
5684,1
2919,1
5574,1
14878,1
15290,1
9087,1
2443,1
12171,0
7390,1
6939,1
11694,1
15129,1
10729,1
9506,0
3382,0
2859,1
13289,1
3760,1
6392,0
2615,1
7541,1
9055,1
3345,0
15492,0
2243,0
14409,1
15426,0
9437,0
5691,0
10625,1
2598,1
10255,1
11600,0
2977,1
15530,1
2870,1
10154,0
8504,1
10135,1
2639,1
6261,0
3889,1
1843,0
12672,0
9195,1
8931,1
1188,1
3921,1
11899,0
13675,1
14529,0
7038,1
10633,1
2216,1
12591,1
12563,1
8416,1
6860,1
10963,1
304,1
10775,1
13244,0
11336,1
5196,0
4280,0
10943,1
10785,1
13336,1
473,1
6098,1
11409,1
9115,0
5066,1
13501,1
1606,1
1418,1
9016,0
6456,0
3078,1
2316,1
7028,1
375,0
7864,1
12058,0
7261,1
10234,1
5612,1
6909,1
11972,1
4705,1
5661,1
4141,1
9281,1
11269,1
10123,1
303,1
862,1
14727,1
1078,0
4202,1
5158,1
11685,0
10839,1
11939,0
13337,1
9488,0
14933,1
1328,1
2599,1
3758,1
10253,1
13532,1
8657,1
1215,1
6515,1
6394,1
5650,1
7914,1
11405,1
5898,1
10906,0
2588,1
4041,1
7154,1
1208,1
12222,1
14435,1
10962,0
8053,1
7937,1
370,0
5357,1
6143,1
4228,0
1412,0
8081,1
4405,1
15476,1
7103,1
693,1
6964,0
13752,1
1479,0
7077,1
840,0
6030,1
6026,1
14147,1
14398,1
10467,1
2190,0
12148,1
4322,1
10740,1
12655,1
4234,0
340,1
7897,1
1626,1
13078,0
1186,0
15420,0
9690,0
8157,1
5044,1
4736,1
14328,1
2468,1
11179,0
8692,1
6594,0
15539,1
4649,1
13561,1
9991,0
6314,1
5089,1
9813,0
14496,1
7868,1
5922,1
1420,1
964,1
4868,1
10309,1
5167,1
12445,1
9987,1
10400,1
2073,1
880,0
14978,1
8827,1
2116,0
11373,1
4220,0
2593,1
7795,1
15536,1
274,1
5098,0
160,1
13125,1
6527,1
14047,0
13315,0
8694,1
8209,1
11416,0
9923,1
215,0
10716,1
1027,1
1810,1
1532,1
2954,0
3020,1
12986,1
11633,1
548,0
10260,1
10411,1
8189,0
2302,0
4243,0
9888,0
437,0
576,0
13743,1
3749,1
14236,1
1835,1
10298,1
7073,1
10954,1
10388,0
13670,0
479,1
14122,1
588,0
1593,0
11309,1
13226,1
14290,1
3314,1
7290,1
1984,1
828,1
10079,0
2873,1
3437,0
1549,0
10872,1
14896,1
6226,1
13275,1
14039,1
12661,1
1133,1
8848,1
9760,1
6490,0
5000,1
1451,1
8465,0
9335,1
5560,0
8215,1
5563,1
925,0
9524,1
3523,1
12164,0
10759,1
1304,1
15419,0
2936,1
6402,0
474,1
5496,0
183,1
6317,1
3251,1
11239,1
10149,0
9430,1
12032,1
7138,1
7699,1
3553,0
6885,1
9413,0
7558,1
7016,1
3924,1
1184,1
4796,0
3871,1
13291,1
5397,1
7062,1
2585,1
14779,0
6501,1
1353,1
13136,1
199,0
10232,0
6600,0
15092,0
9039,0
11858,0
6169,1
7832,0
2283,1
12532,1
7245,1
15310,1
9897,0
9420,0
11096,1
6209,1
1095,1
2477,1
161,1
9674,1
11065,1
13878,1
11929,1
10306,1
9067,1
14037,1
7630,1
13183,1
5457,1
11554,0
12219,1
2748,1
3683,1
10142,0
3233,0
2530,0
10437,1
10266,1
11553,1
1876,1
8447,1
11568,1
4213,0
14286,1
4677,0
7304,1
2257,0
15399,0
7058,1
4919,1
1322,1
10456,0
7347,0
13500,1
10781,1
12201,1
4010,1
12854,1
13239,1
7747,1
6560,1
12789,1
1616,1
12082,1
2331,1
11410,1
7064,1
2937,1
7959,0
4148,0
487,1
8604,1
5129,0
12319,1
14780,1
10778,1
2669,1
9657,0
5415,1
12341,0
3561,0
1018,1
4640,1
14516,0
8648,1
7091,0
15227,1
15020,1
389,1
4641,1
7688,1
682,1
2403,0
2764,0
9637,0
8444,1
1573,0
1844,0
10330,1
8080,1
11834,1
13030,1
5842,1
1262,0
12533,1
655,0
10110,0
167,1
12926,1
5701,1
11690,0
5322,1
14856,1
10799,1
8077,1
3299,0
9794,1
4091,1
11117,1
14818,0
6898,1
8857,0
2463,0
10629,0
7170,1
993,0
4830,1
3294,1
10502,1
15072,1
3352,0
7148,1
3412,1
12627,1
12429,1
7911,1
6452,0
8233,0
6665,0
9204,1
11406,1
1711,1
7579,0
15486,0
910,0
4055,1
6897,1
12357,1
4551,1
12795,1
2633,1
7129,1
10541,1
2358,1
11178,1
3439,0
6137,1
5392,0
14299,1
12625,1
10505,1
4069,1
2108,1
6710,1
14438,0
6154,1
6336,1
6484,1
13590,1
8695,1
15433,1
954,1
7438,1
11474,1
3750,0
12297,1
11429,1
15124,0
4639,0
13536,1
11603,0
9277,1
5720,1
9390,1
9873,0
1721,1
2507,1
2978,1
1856,1
508,1
5930,1
13655,0
12040,1
3556,1
14568,1
1490,0
5880,1
5905,1
11666,1
2487,1
1643,1
11738,0
9527,0
8440,1
511,1
3475,1
6124,1
13747,1
1906,0
1849,0
9628,1
12428,0
14475,1
9861,1
7805,0
5170,0
9100,1
3455,1
6959,0
4298,1
8894,1
9118,0
7861,1
13808,0
855,0
7023,0
3765,1
5784,1
6412,1
91,0
1780,0
9324,1
3856,1
638,1
527,0
1982,1
469,1
178,1
68,1
11229,1
5949,1
9869,0
1989,1
2665,1
1242,0
2376,0
3031,1
3814,0
7784,1
1426,1
10744,1
10395,1
3860,1
13937,0
936,1
14963,1
12565,1
578,0
15445,0
8214,1
5807,1
2386,1
5914,1
12292,0
12122,1
4709,1
13061,1
9701,1
10791,1
11085,0
1075,1
1381,0
13597,0
10011,1
11000,1
4389,0
10510,0
9542,0
13616,0
1088,1
6929,1
8108,1
6533,1
3773,1
15481,0
4351,0
6359,1
7843,1
4776,1
2218,0
13405,0
13134,1
2762,1
13994,0
6282,1
12212,1
1411,1
5587,0
12710,1
6056,1
10600,1
5423,1
4428,1
7601,0
1271,1
5955,0
13480,0
12657,0
7877,1
1949,1
10206,1
12053,1
8321,0
8617,0
3220,1
12836,1
946,0
9658,0
10697,1
7140,1
8225,1
9996,0
14733,1
14756,1
4671,1
6444,1
12023,1
1233,0
7504,1
5861,1
3826,0
13617,1
165,0
14050,0
3614,1
9505,0
2432,0
13096,0
4557,1
6574,1
10898,1
2628,0
5383,1
13167,1
5157,0
4302,0
8807,0
4969,0
7769,0
996,1
13579,0
12491,1
10865,1
3934,1
434,0
12679,1
4301,0
13271,0
4733,0
5431,1
427,0
6956,0
6834,1
15098,1
1794,0
1520,0
14643,0
15062,0
11129,1
2509,0
13102,1
7177,0
3273,0
10896,1
8683,1
9553,0
6598,0
5571,1
4494,0
1431,1
10728,1
11621,1
10335,1
10996,1
2949,1
11514,0
2861,0
2914,1
12641,0
1701,1
4779,0
13551,0
13376,1
3243,1
9904,1
14543,1
4695,1
5787,0
8021,1
3064,0
6356,0
5969,0
4751,0
79,0
451,1
9693,0
5929,0
11024,1
3413,1
8705,0
9751,1
12883,1
14794,0
2511,0
6162,1
3014,1
7287,1
8300,1
5856,0
834,1
1272,0
3009,1
2973,0
14973,1
10111,0
114,1
780,1
8829,1
10619,1
11433,0
12832,1
8793,1
1852,1
4439,0
12224,0
7107,1
131,1
5320,1
4266,1
8164,0
6893,1
4348,1
10100,1
7633,1
6342,0
2781,1
3628,1
13768,0
11856,1
12634,1
12133,1
14157,0
5191,1
15143,0
835,0
11915,1
12814,1
8247,1
11422,0
3543,0
4727,1
2301,1
6549,1
3129,0
10565,0
9549,0
10012,1
6061,1
9929,0
7836,1
4792,0
2831,1
1563,0
3587,0
1785,0
7727,1
7066,0
492,0
4579,1
2032,1
13758,0
12113,0
1719,1
8486,1
13435,0
15261,0
14882,1
9914,0
14750,0
11385,1
12465,1
